S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin,Valid Votes,Electors,Poll%
1,GEN,ADOOR,K. K. GOPALAN NAIR,KC,17651,P. RAMALINGA AYYAR,CPI,15287,2364,50531,63349,79.76605787
2,GEN,AKALAKUNNAM,J. A. CHACKO,KC,22913,VASUDEVAN KARTHA,IND,13755,9158,43689,56452,77.39141217
3,GEN,ALATHUR,R. KRISHNAN,CPM,26328,A. NARAYANAN,CON,12472,13856,42125,65414,64.39752958
4,GEN,ALLEPPEY,G. CHIDAMBARA IYER,CON,13997,T. V. THOMAS,CPI,12693,1304,49353,61753,79.92000389
5,GEN,ALWAYE,V. P. MARAKKAR,CON,22659,P. K. KUNJU,SSP,21556,1103,47933,60706,78.9592462
6,GEN,AMBALAPUZHA,K. S. KRISHNA KURUP,CON,16657,V. S. ATCHUTHANANDAN,CPM,14330,2327,46484,62258,74.66349706
7,GEN,ANKAMALI,JOHN,KC,19828,GEERVACIS,CON,13840,5988,48009,63544,75.55237316
8,GEN,ARANMULA,N. BHASKARAN NAIR,KC,22000,K. VELAYUDHAN NAIR,CON,17031,4969,48223,63470,75.97762723
9,GEN,AROOR,K. R. GOURI THOMAS,CPM,19426,DEVAKI KRISHNAN,CON,14843,4583,50996,63979,79.70740399
10,GEN,ARYANAD,V. SANKARAN,CON,11187,M. ABDUL MAJEED,SSP,9890,1297,34735,52054,66.72878165
11,GEN,ATTINGAL,K. ANIRUDHAN,CPM,25598,R .SANKAR,CON,23515,2083,53604,64848,82.66099186
12,GEN,BADAGARA,M. KRISHNAN,SSP,35197,T. KRISHNAN,CON,13262,21935,51670,65336,79.0835068
13,GEN,BALUSSERI,A.K. APPU,SSP,29593,O.K. GOVINDAN,CON,23407,6186,54053,68049,79.43246778
14,GEN,BEYPORE,K. CHATUNNY,CPM,25342,O.T. SARADAKRISHNAN,CON,14958,10384,55795,70078,79.61842518
15,GEN,CALICUT I,P.C. RAGHAVAN NAIR,CPM,27671,M. KAMALAM,CON,25125,2546,55672,67525,82.4465013
16,GEN,CALICUT I I,P.M. ABOOBACKER,IND,30025,K.P. RAMUNNIMENON,CON,21121,8904,54306,69331,78.3285976
17,GEN,CANNANORE,K.M. ABOOBACKER,IND,31448,P. MADHAVAN,CON,24522,6926,59347,71201,83.35135742
18,GEN,CHALAKUDI,P. P. GEORGE,CON,18873,B. C. VARUGHESE,IND,14165,4708,49977,67764,73.7515495
19,GEN,CHANDAYAMANGLAM,D. DAMODARAN POTTY,SSP,16291,N. BHASKARAN PILLAI,CON,16269,22,47295,62759,75.35970936
20,GEN,CHANGANACHERRY,K. J. CHACKO,KC,21134,K. G. NEELAKANTAN NAMBUDIRIPAD,CPI,16893,4241,49377,62580,78.90220518
21,GEN,CHANTHANOOR,THANKANPPAN PILLAI,IND,17462,P. RAVINDRAN,CPI,16694,768,50184,63010,79.64450087
22,SC,CHELAKARA,K. K. BALAKRISHNAN,CON,17283,C. K. CHAKRAPANI,CPM,17177,106,39305,61298,64.12117851
23,GEN,CHENGANNUR,K. R. SARASWATHI AMMA,KC,26248,N. S. KRISHNA PILLAI,CON,12135,14113,52259,67502,77.41844686
24,GEN,CHITTUR,K. A. SIVARAMA BHARATHY,SSP,24630,LEELA DAMODARA MENON,CON,17100,7530,44034,67325,65.4051244
25,GEN,CRANGANORE,K. C. M. MATHER,CON,25330,GOPALAKRISHNA MENON,CPI,13847,11483,50637,63162,80.17003895
26,SC,DEVICOLAM,G. VARATHAN,CPM,16472,T. MURUKESAN,CON,15483,989,39726,60975,65.15129151
27,GEN,EDAKKAD,C. KANNAN,CPM,30716,P.P. LAKSHMANAN,CON,23072,7644,53788,67047,80.22432025
28,GEN,ERAVIPURAM,ABDUL RAHIM,CON,19114,SANKARAN UNNI,IND,18458,656,51922,63767,81.42456129
29,GEN,ERNAKULAM,P. J. ALEXANDER,CON,20853,T. A. MOHAMMED KUNJU,IND,9999,10854,48286,64597,74.74960137
30,GEN,ETTUMANOOR,M. M. JOSEPH,KC,23400,MUSTAFA KHANI RAWTHER,CON,15178,8222,50464,62432,80.83034341
31,GEN,GURUVAYUR,P. K. ABDUL MAJEED,IND,20322,M. V. ABOOBACKER,CON,19831,491,47714,60808,78.46664913
32,GEN,HARIPAD,K. P. RAMAKRISHNAN NAIR,CON,23644,C. B. CHANDRASEKHARA WARRIER,CPM,17178,6466,55752,71326,78.165045
33,GEN,HOSDRUG,N.K. BALAKRISHNAN,SSP,30558,M.KUNHIKANNAN NAMBIAR,CON,17116,13442,51661,69272,74.57702968
34,GEN,IRIKKUR,E.P. KRISHNAN NAMBIAR,CPM,27284,A. NARAYANANA NAMBISSAN,CON,17033,10251,47587,64308,73.99856938
35,GEN,IRINJALAKUDA,K. T. ACHUTHAN,CON,19302,P. APPUKUTTA MENON,IND,13143,6159,50692,64561,78.51799074
36,GEN,KADUTHURUTHY,JOSEPH CHAZHIKATTU,KC,26597,M. C. ABRAHAM,CON,12344,14253,48824,60680,80.46143705
37,GEN,KALLOOPPARA,GEORGE THOMAS,KC,25422,K. R. KESHAVA PILLAI,CPM,9774,15648,44056,59063,74.59153785
38,GEN,KALPETTA,B. WELLINGDON,IND,17549,JOSEPH PULIKKANAEL,IND,11187,6362,39948,62654,63.75969611
39,GEN,KANJIRAPALLY,KURIAN VARKEY,KC,18206,MUSTAFA KAMAL,IND,17468,738,48481,63301,76.58804758
40,GEN,KARIMANOOR,CHACKO KURIAKOSE,KC,15897,M. M. THOMAS,IND,11650,4247,38021,55945,67.96139065
41,GEN,KARUNAGAPALLY,KUNJUKRISHNAN,CON,19762,BHASI,IND,17468,2294,56518,70992,79.61178724
42,GEN,KASARGOD,E. ABDUL KADER,IND,21923,K.A. SHETTY,CON,19784,2139,46262,62991,73.44223778
43,GEN,KAYAMKULAM,SUKUMARAN,CPM,17522,PRABHAKARAN,CON,17179,343,52349,65816,79.53841011
