S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin,Valid Votes,Electors,Poll%
1,GEN,ADOOR,RAMALINGOM,CPI,25804,P . RAGHAVAN,IND,12970,12834,51158,62808,81.45140746
2,GEN,AKALAKUNNAM,J . A . CHACKO,KEC,18049,M . G . K . NAIR,CPM,15770,2279,41740,56185,74.290291
3,GEN,ALATHUR,R.KRISHNAN,CPM,25467,SARADA,INC,13630,11837,39097,65006,60.14367905
4,GEN,ALLEPPEY,T . V . THOMAS,CPI,28880,G. C . IYER,INC,15554,13326,50085,65635,76.30837206
5,GEN,ALWAYE,M . K . A . HAMEED,IND,29978,V . P . MARAKKAR,INC,20360,9618,53473,66482,80.43229746
6,GEN,AMBALAPUZHA,V . S . ACHYUTHANANDAN,CPM,26627,A . ACHYUTHAN,INC,17112,9515,50309,64869,77.55476422
7,GEN,ANKAMALI,A . P . KURIAN,CPM,21427,A . C . GEORGE,INC,15237,6190,50831,63450,80.11189913
8,GEN,ARANMULA,P.N. CHANDRASENAN,SSP,19665,K. V. NAIR,INC,16743,2922,47539,62729,75.78472477
9,GEN,AROOR,K . R . G . THOMAS,CPM,28274,K . BHASI,INC,21097,7177,52077,63801,81.62411247
10,GEN,ARYANAD,M.MAJEED,SSP,18350,V.SANKARAN,INC,14749,3601,35378,51816,68.27620812
11,GEN,ATTINGAL,K.P.K.DAS,CPM,26871,B.PURUSHOTHAMAN,INC,21826,5045,48697,64623,75.35552358
12,GEN,BADAGARA,M.KRISHNAN,SSP,37488,M.VENUGOPAL,INC,12977,24511,50465,65003,77.63487839
13,GEN,BALUSSERI,A.K.APPU,SSP,29069,O.K.GOVINDAN,INC,22491,6578,54077,68557,78.8788891
14,GEN,BEYPORE,K.C.MASTER,CPM,33479,I.P.KRISHNAN,INC,14947,18532,52497,70075,74.91544773
15,GEN,CALICUT I,P.C.R.NAIR,CPM,32794,M.KAMALAM,INC,27710,5084,62574,75606,82.76327276
16,GEN,CALICUT II,P.M.ABUBACKER,MUL,32415,V.ZUBAIR,INC,21859,10556,57293,74699,76.69848325
17,GEN,CANNANORE,E.AHAMED,MUL,35261,N.K.KUMARAN,INC,26997,8264,62258,75939,81.98422418
18,GEN,CHADAYAMANGALAM,D . D . POTTI,SSP,29980,B . PILLAI,INC,18122,11858,48807,62413,78.20005448
19,GEN,CHALAKUDI,P.P. GEROGE,INC,26568,P.K. CHATHAN,CPI,23107,3461,52357,67988,77.00917809
20,GEN,CHANGANACHERRY,K .G . N . NAMBUDIRIPAD,CPI,21278,K . J . CHACKO,KEC,15353,5925,49516,62558,79.15214681
21,GEN,CHATHANNOOR,P . RAVINDRAN,CPI,27181,S . T . PILLAI,KEC,15972,11209,49424,62895,78.58176326
22,SC,CHELAKARA,P.KUNHAN,CPM,21175,K.K.BALAKRISHNAN,INC,19123,2052,41895,61234,68.41787242
23,GEN,CHENGANNUR,P.G.P. PILLAI,CPM,17524,N.S.K. PILLAI,INC,16004,1520,50408,66153,76.19911417
