S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,GEN,ADOOR,THEGAMOM BALAKRISHNAN,CPI,23285,40.03,DAMODARAM UNNITHAN,CPM,20005,34.39,3280,58164,71535,81.30845041
2,GEN,AKALAKUNNAM,J. A. CHACKO,KEC,24500,55.61,A. M. SOMANADHAN,IND,14040,31.87,10460,44058,61195,71.99607811
3,GEN,ALATHUR,R. KRISHNAN,CPM,34193,61.71,P. M. ADULRAHIMAN,IND,17735,32.01,16458,55411,81287,68.16711159
4,GEN,ALLEPPEY,T. V. THOMAS,CPI,27964,52.91,N. SWAYAMAVARAN,IND,18954,35.86,9010,52856,71114,74.32573052
5,GEN,ALWAYE,A. A. KOCHUNNY,INC,30179,49.3,M. K. A. HAMEED,IND,28055,45.83,2124,61210,79499,76.99467918
6,GEN,AMBALAPUZHA,V. S. ACHUTHANANDAM,CPM,28596,49.02,K. K. KUMARA PILLAI,RSP,25828,44.27,2768,58338,73609,79.25389558
7,GEN,ANKAMALI,A. P. KURIAN,CPM,26626,44.68,G. AREEKAL,INC,25320,42.48,1306,59599,75860,78.56446085
8,GEN,ARANMULA,P. N. CHANDRASENAN,IND,21934,41.31,T. N. UPENDRA NATHA KURUP,IND,15367,28.94,6567,53098,69072,76.87340746
9,GEN,ARIYANAD,SOMA SEKHARAN NAIR,SOP,18401,48.08,ABOOBAKER KUNJU,RSP,12845,33.56,5556,38271,61776,61.9512432
10,GEN,AROOR,K. R. GOURI,CPM,34095,52.29,C. G. SADASIVAN,CPI,28868,44.27,5227,65204,74327,87.72586005
11,GEN,ATTINGAL,VAKKOM PURUSHOTHAMAN,INC,33637,58.34,V. SREEDHARAN,CPM,22106,38.34,11531,57660,75679,76.1902245
12,GEN,BADAGARA,M. KRISHNAN,ISP,31716,51.89,P. RAGHAVANNAIR,INC,29407,48.11,2309,61123,75806,80.63082078
13,GEN,BALUSSERI,A. C. SHANAMKHADAS,INC,30896,47.89,P. K. SANKARANKUTTY,SOP,29699,46.04,1197,64509,80253,80.38204179
14,GEN,BEYPORE,K. CHATHUNNI MASTER,CPM,30260,44.68,P. K. UMMAR KHAN,MUL,27945,41.26,2315,67732,87155,77.71441684
15,GEN,CALICUT I,P. V. SANKANA NARAYANAN,INC,30416,46.77,THAY T. SANKARAN,IND,26619,40.93,3797,65038,87070,74.69622143
16,GEN,CALICUT I I,KALPALLY MADHAVA MENON,IND,29946,50.26,P. M. ABOOBACKAR,MUL,26803,44.99,3143,59578,86026,69.25580638
17,GEN,CANNANORE,N. K. KUMARAM,IND,33544,52.08,E. AHAMMED,MUL,30543,47.42,3001,64407,84922,75.84253786
18,GEN,CHALAKUDY,P. P. GEORGE,INC,32223,55.18,T. L. JOSEPH,IND,22794,39.04,9429,58392,79995,72.99456216
19,GEN,CHANDYAMANGALAM,M. N. GOBINDANI NAIR,CPI,31372,55.02,P. R. BASKARAN NAIR,SOP,19945,34.98,11427,57024,76137,74.89656803
20,GEN,CHANGANACHERRY,K. L CHACKO,KEC,22709,39.84,K. P. RAJAGOPALAN NAIR,IND,18892,33.14,3817,57002,75260,75.74010098
21,GEN,CHATHANNUOR,P. RAVIDRAN,CPI,28730,49.93,S. THANKAPPAN PILLAI,KEC,14782,25.69,13948,57546,76175,75.54446997
22,SC,CHELAKARA,K. K. BALAKRISHAN,INC,25270,49.07,K. S. SANKARAN,CPM,22964,44.59,2306,51500,72596,70.94054769
23,GEN,CHENGANNUR,P. G. PURUSHOTHAMAN PILLAI,CPM,21687,35.91,SARASWATHI RUGMINI,KEC,19443,32.19,2244,60393,74979,80.54655303
24,GEN,CHITTUR,K. A. SIVAAMA BHARRATHY,SOP,24579,43.53,SUNNA SAHIB,NCO,13152,23.29,11427,56470,79674,70.87632101
25,GEN,CRANGANORE,E. GOPALAKRISHNA MENON,CPI,24819,45.17,P. V. ABDUL KHADER,IND,24287,44.2,532,54943,72437,75.84935875
26,SC,DEVICOLAM,G. VARADAN,CPM,14838,35.79,N. GANAPATHY,INC,11949,28.82,2889,41463,71980,57.60350097
27,GEN,EDAKKAD,N. RAMAKRISHNAN,INC,31199,49.06,C. KANNAN,CPM,27559,43.34,3640,63593,78942,80.55661118
