Sl No.,Constituency ,Type,Winner ,Party,Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,M. Ramappa,CPI,25709,H. Shankara Alva,BLD,21100,4609,71771,52393,73.00%
2,Kasaragod,GEN,T. A. Ibrahim,MUL,29402,B. M. Abdul Rehiman,MLO,22619,6783,72643,57416,79.00%
3,Udma,GEN,N. K. Balakrishnan,United Front IND,31690,K. G. Marar,BLD,28145,3545,79412,63538,80.00%
4,Hosdrug,(SC),K. T. Kumaran,CPI,34683,M. Raghavan,CPM,32578,2105,85736,69819,81.40%
5,Trikaripur,GEN,P. Karunakaran,CPM,38632,P. T. Jose,KEC,32512,6120,89711,73123,81.50%
6,Irikkur,GEN,C. P. Govindan Nambiar,INC,34889,Sabastian Vettam,KCP,27741,7148,76970,65050,84.50%
7,Payyannur,GEN,N. Subramoniya Shenoy,CPM,37256,T. C. Bharathan,IND,32209,5047,87783,70832,80.70%
8,Taliparamba,GEN,M. V. Raghavan,CPM,36829,K. Narayanan Nambiar,IND,35304,1525,91418,75623,82.70%
9,Azhikode,GEN,Chatayan Govindan,CPM,32548,C. C. Abdul Halim,MUL,26712,5836,74242,61777,83.20%
10,kannur,GEN,P. Bhaskaran,BLD,31391,N. K. Kumaran,INC,30701,690,82706,65508,79.20%
11,Edakkad,GEN,P. P. V. Moosa,MLO,34266,N. Ramakrishnan,INC,30947,3319,80636,67594,83.80%
12,thalassery,GEN,Pattiam Gopalan,CPM,38419,N. C. Mammootty,CPI,29946,8473,90599,70248,77.50%
13,Peringalam,GEN,P. R. Karup,INC,33916,V. K. Achuthan,BLD,31958,1958,85316,66790,78.30%
14,Kuthuparamba,GEN,Pinarayi Vijayan,CPM,34465,Abdulkadar,RSP,30064,4401,80754,67720,83.90%
15,Peravoor,GEN,K. P. Noorudeen,INC,36449,E. P. Krishnan Nambiar,CPM,31465,4984,82976,70437,84.90%
16,North Wynad,(ST),M. V. Rajan,INC,32589,A. Gopalan,CPM,24288,8301,76265,59856,78.50%
17,Vatakara,GEN,K. Chandrasekharan,BLD,37543,P. Vijayan,INC,34998,2545,88657,73153,82.50%
18,Nadapuram,GEN,Kandalottu Kunhambu,CPI,37391,E. V. Kumaran,CPM,30321,7070,82643,70340,85.10%
19,Meppayur,GEN,Panarath Kunhimohammed,MUL,40642,A. V. Abdurahiman Haji,MLO,34808,5834,90211,77430,85.80%
20,Quilandy,GEN,E. Narayanan Nair,INC,39581,E. Rajagopalan Nair,BLD,35074,4507,90303,75817,84.00%
21,Perambra,GEN,K. C. Joseph,KEC,35694,V. V. Dakshinamoorthy,CPM,34921,773,83379,72961,87.50%
22,Balusseri,GEN,P. K. Sankarankutty,BLD,33960,Puthoor Ramakrishnan Nair,INC,32413,1547,77313,67213,86.90%
23,Koduvally,GEN,E. Ahammad,MUL,39241,K. Moosakutty,CPM,31206,8035,83839,72752,86.80%
24,Calicut- I,GEN,N. Chandrasekhara Kurup,CPM,37249,P. V. Sankaranarayanan,INC,35476,1773,95325,74044,77.70%
25,Calicut- II,GEN,P. M. Aboobacker,MLO,33531,S. V. Usmankoya,MUL,32433,1098,87536,68772,78.60%
26,Beypore,GEN,N. P. Moideen,INC,35374,K. Chathunni Master,CPM,33178,2196,84730,70403,83.10%
27,Kunnamangalam,(SC),K. P. Raman,MLO,30289,P. K. Kannan,CPI,28601,1688,72612,61122,84.20%
28,Thiruvambady,GEN,P. Cyriac John,INC,29835,E. T. Mohammed Basheer,MLO,26454,3381,70573,58517,82.90%
29,Kalpetta,GEN,K. G. Adiyodi,INC,28713,M. P. Veerandrakumar,BLD,26608,2105,70928,57741,81.40%
30,Sultan'S Battery,(ST),K. Raghavan Master,INC,29204,Nidyachery Vasu,BLD,24213,4991,73605,57503,78.10%
31,Wandoor,(SC),V. Eacharan,INC,35369,K. Gopalan,BLD,22079,13290,84084,62035,73.80%
32,Nilambur,GEN,Aryadan Muhammed,INC,35410,K. Saidali Kutty,CPM,27695,7715,85570,67366,78.70%
33,Manjeri,GEN,M. P. M Abdulla Kurikkal,MUL,43626,K. A. Quader,MLO,16807,26819,80134,61533,76.80%
34,Malappuram,GEN,C. H. Mohammed Koya,MUL,39362,T. K. S. A. Muthukoyathangal,MLO,15724,23638,81649,56276,68.90%
35,Kondotty,GEN,P. Seethi Haji,MUL,41731,M. C. Muhammed,MLO,20159,21572,80449,63912,79.40%
36,Tirurangadi,GEN,Avakader Kutty Naha,MUL,40540,T. P. Kunhalan Kutty,IND,21479,19061,81559,63823,78.30%
37,Tanur,GEN,U. A. Beeran,MUL,42886,C. M. Kutty,MLO,12158,30728,81128,56383,69.50%
38,Tirur,GEN,P. T. Kunhimuhammed ( Kunhukutty Hajee ),MUL,41675,K. Moideen Kutty Haji ( K. Bava Haji ),MLO,26127,15548,88246,69067,78.30%
39,Ponnani,GEN,M. P. Gangadharan,INC,38083,E. K. Imbichi Bava,CPM,28334,9749,90066,69436,77.10%
40,Kuttippuram,GEN,Chakeri Ahmedkutty,MUL,36367,K. Moidu,MLO,12023,24344,74232,49741,67.00%
41,Mankada,GEN,Korambayil Ahammed Haji,MUL,33597,Cherukoya Thangal,MLO,26207,7390,78435,60952,77.70%
42,Perinthalmanna,GEN,K. K. S. Thangal,MUL,32356,Paloli Muhammed Kutty,CPM,24751,7605,79983,62120,77.70%
43,Thrithala,GEN,K. Sankaranarayanan,INC,34012,P. P. Krishnan,CPM,24288,9724,78608,59750,76.00%
44,Pattambi,GEN,E. P. Gopalan,CPI,30659,Devaki Warrier,CPM,26072,4587,81392,59489,73.10%
45,Ottapalam,GEN,P. Balan,INC,30937,K. P. Unni,CPM,24120,6817,79058,57038,72.10%
46,Sreekrishnapuram,GEN,K. Sukumaranunni,INC,32071,C. Govinda Panicker,CPM,28136,3935,87724,64122,73.10%
47,Mannarkkad,GEN,A. N. Yusuff,CPI,30563,C. S. Gangadharan,CPM,23854,6709,83726,59494,71.10%
48,Malampuzha,GEN,P. V. Kunhikannan,CPM,27122,C. M. Chandrasekharan,RSP,22696,4426,73909,56037,75.80%
49,Palghat,GEN,C. M. Sundaram,United Front IND,30160,R. Krishnan,CPM,27357,2803,84546,63345,74.90%
50,Chittur,GEN,P. Sankar,CPI,28698,K. A. Sivarama Bharathy,BLD,21121,7577,85253,64534,75.70%
51,Kollengode,GEN,C. Vasudeva Menon,CPM,29303,K. V. Narayanan,CPI,28865,438,89301,67932,76.10%
52,Coyalmannam,(SC),M. K. Krishnan,CPM,34798,N. Subbayyan,INC,29570,5228,86425,66726,77.20%
53,Alathur,GEN,E. M. S. Namboodiripad,CPM,31424,V. S. Vijayaraghavan,INC,29425,1999,84794,64274,75.80%
54,Chelakara,(SC),K. K. Balakrishnan,INC,34460,K. S. Sankaran,CPM,24525,9935,80751,61880,76.60%
55,Wadakkanchery,GEN,K. S. Narayanan Namboodiri,INC,37783,A. S. N. Nambisan,CPM,25725,12058,84156,66687,79.20%
56,Kunnamkulam,GEN,K. P. Viswanathan,INC,35230,T. K. Krishnan,CPM,29889,5341,84153,68501,81.40%
57,Cherpu,GEN,K. P. Prabhakaran,CPI,33526,I. M. Velayudhan,IND,29007,4519,79270,65363,82.50%
58,Trichur,GEN,K. J. George,BLD,32335,P. A. Antony,INC,28185,4150,83498,64844,77.70%
59,Ollur,GEN,P. R. Francis,INC,30931,Adv. P. K. Asokan,CPM,29845,1086,78156,65130,83.30%
60,Kodakara,GEN,Lonappan Nambadan,KEC,30569,T. P. Sitaraman,BLD,29119,1450,80109,65840,82.20%
61,Chalakudi,GEN,P. K. Ittoop,KCP,33581,P. P. George,INC,25968,7613,73622,62445,84.80%
62,Mala,GEN,K. Karunakaran,INC,34699,Paul Kokkat,CPM,25233,9466,77973,64245,82.40%
63,Irinjalakuda,GEN,Sidharthan Kattungal,INC,33377,John Manjooran,IND,31243,2134,83845,67772,80.80%
64,Manalur,GEN,N. I. Devassykutty,INC,32314,M. G. Jayachandran,IND,24986,7328,76178,61277,80.40%
65,Guruvayoor,GEN,B. V. Seethi Thangal,MUL,34063,V. M. Sulaiman,MLO,20071,13992,77864,59543,76.50%
66,Nattika,GEN,P. K. Gopalakrishnan,CPI,32917,V. K. Gopinathan,BLD,24711,8206,74703,59832,80.10%
67,Kodungallur,GEN,V. K. Rajan,CPI,32159,P. V. Abdul Kader,IND,24048,8111,81317,66947,82.30%
68,Ankamali,GEN,A. P. Kurian,CPM,36261,P. P. Thankachan,INC,35700,561,86307,74530,86.40%
69,Vadakkekara,GEN,T. K. Abdu,CPM,30498,K. C. Mathew,CPI,29541,957,77590,66407,85.60%
70,Parur,GEN,Xavier Arakkal,INC,29644,Varkey Painandar,IND,24733,4911,71070,59093,83.10%
71,Narakkal,(SC),T. A. Paraman,RSP,30985,S. Vasu,CPM,28795,2190,76207,64195,84.20%
72,Ernakulam,GEN,A. L. Jacob,INC,33367,Alexander Parambithara,BLD,31643,1724,91230,69107,75.80%
73,Mattancherry,GEN,K. J. Harschel,BLD,29543,A. A. Kochunny,INC,25348,4195,77784,56469,72.60%
74,Palluruthy,GEN,Eapen Varghese,KEC,32479,M. M. Lawrence,CPM,30638,1841,86160,70538,81.90%
75,Thrippunithura,GEN,T. K. Ramakrishnan,CPM,35754,K. M. Ramsakunju,MUL,30009,5745,85842,70935,82.60%
76,Alwaye,GEN,T. H. Musthafa,INC,37017,M. P. M. Japherkhan,MLO,36259,758,94511,76876,81.30%
77,Perumbavoor,GEN,P. R. Sivan,CPM,34133,P. I. Poulose,INC,32386,1747,81453,70127,86.10%
