Sl No.,Constituency Name,Type,Winner Candidates Name,Party,Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,Dr. A. Subba Rao,CPI,20816,Chorkalam Abdullah,MUL,20660,156,80147,53376,66.60%
2,Kasaragod,GEN,C. T. Ahamedali,MUL,30793,Gorvacis Areeckal,KEC,14113,16680,80655,51705,64.10%
3,Udma,GEN,K. Purushothaman,CPM,31948,N. K. Balakrishnan,IND,26928,5020,94737,69351,73.20%
4,Hosdrug,SC,K. T. Kumaran,CPI,42136,T. Kumaran Master,INC(I),32031,10105,105064,74618,71.00%
5,Trikaripur,GEN,P. Karunakaran,CPM,47643,K. P. Kunhikannan,INC(I),32026,15617,108968,80942,74.30%
6,Irikkur,GEN,Ramachandran Kadannappally,INC(U),37440,Dr. K. C. Joseph,KCJ,31992,5448,93892,70398,75.00%
7,Payyannur,GEN,N. Subrammaniya Shenoy,CPM,46351,T. V. Koran,IND,26939,19412,101579,75122,74.00%
8,Taliparamba,GEN,C. P. Moossan Kutty,CPM,47420,Chandren T. P.,IND,30829,16591,107325,80358,74.90%
9,Azhikode,GEN,P. Devooty,CPM,38985,T. V. Narayanan,INC(I),24502,14483,81990,64228,78.30%
10,Cannanore,GEN,P. Bhaskaran,JNP,35565,O. Bharathan,CPM,35216,349,91562,71719,78.30%
11,Edakkad,GEN,P. P. V. Moosa,IML,39843,K. Sudhakaran,JNP,29886,9957,88509,70913,80.10%
12,Tellicherry,GEN,M. V. Rajagopalan,CPM,42673,V. P. Marakikar,INC(I),25971,16702,91540,69374,75.80%
13,Peringalam,GEN,A. K. Saseendran,INC(U),38049,K. C. Marar,JNP,32159,5890,92754,71349,76.90%
14,Kuthuparamba,GEN,N. V. Raghavan,CPM,44207,R. Karunakaran,IND,22556,21651,90189,67720,75.10%
15,Peravoor,GEN,K. P. Noorudeen,INC(U),45486,C. M. Karunakaran Nambiar,INC(I),31370,14116,96298,77163,80.10%
16,North Wayanad,ST,M. V. Rajan Master,INC(I),33723,A. Gopalan,CPM,29940,3783,95528,64090,67.10%
17,Badagara,GEN,K. Chandra Sekharan,JNP,41684,P. V. Kunhikannan,CPM,40322,1362,101981,82315,80.70%
18,Nadapuram,GEN,K. T. Kanaran,CPI,42680,Dr. K. G. Adiyedi,INC(I),36940,5740,98467,79927,81.20%
19,Meppayur,GEN,A. V. Abdulurahiman Haji,IML,43851,P. K. K. Bava,MUL,36044,7807,100789,81651,81.00%
20,Quilandy,GEN,Manimangalath Kuttialy,INC(I),42171,P. K. Sankaran,CPM,37143,5028,102966,81948,79.60%
21,Perambra,GEN,V. V. Dakshinamoorthy,CPM,44695,K. A. Devassia,KCJ,35227,9468,96202,80221,83.40%
22,Balusseri,GEN,A. C. Shanmukhadas,INC(U),39664,P. K. Sankaran Kutty,JNP,30716,8948,89862,70656,78.60%
23,Koduvally,GEN,P. V. Mohammed,MUL,41134,K. Moossakutty,CPM,35608,5526,96840,77278,79.80%
24,Calicut- I,GEN,N. Chandrasekhara Kurup,CPM,41796,K. T. Raghavan,INC(I),38011,3785,121417,80474,66.30%
25,Calicut- II,GEN,P. M. Abubackar,IML,40160,C. K. Nanu,JNP,34931,5229,112752,75444,66.90%
26,Beypore,GEN,N. P. Moideen,INC(U),43360,N. K. Abdulla Koya,MUL,36052,7308,103717,80179,77.30%
27,Kunnamangalam,SC,K. P. Raman,IML,35234,K. Gopalan,INC(I),31173,4061,86535,66763,77.20%
28,Thiruvambady,GEN,P. Cyriac John,INC(U),35623,N. M. Hussain,MUL,29953,5670,91449,66384,72.60%
29,Kalpetta,GEN,M. Kamalam,JNP,37442,K. Abdul Khader,RSP,24403,13039,94148,63393,67.30%
30,Sultan's Battery,GEN,K. K. Ramachandran Master,INC(I),36974,P. T. Jose,KEC,29580,7394,99136,67951,68.50%
31,Wandoor,SC,M. A. Kuttappan,INC(I),35187,P. Suresh,INC(U),29298,5889,97660,68626,70.30%
32,Nilambur,GEN,C. Haridas,INC(U),41744,T. K. Hamsa,INC(I),35321,6423,102084,78443,76.80%
32 1,Nilambur,GEN,A.Mohammad,INC(U),49609,M.R.Chandran,INC(I),31768,21304,90558,66418,73.30%
33,Manjeri,GEN,C. H. Mohammed Koya,MUL,43209,M. P. M. Aboobacker Kunikkal,IML,21905,19330,97931,54310,55.50%
33 2,Manjeri,GEN,I.Kurikkal.M.P.M,MUL,47988,M.C.Mohammed,IML,26179,15198,95562,70107,73.40%
34,Malappuram,GEN,U. A. Beeran,MUL,36602,T. K. F. M. A. Muthukoya Thangal,IML,17272,11959,97336,65873,67.70%
35,Kondotty,GEN,P. Seethi Haji,MUL,41848,M. C. Mohamed,IML,26650,23733,98003,54746,55.90%
36,Tirurangadi,GEN,Avukkaderkutty Maha,MUL,37775,K. Koyakunhi Naha,CPI,25816,2268,101325,75090,74.10%
37,Tanur,GEN,E. Ahamed,MUL,38998,U. K. Bhasy,INC(U),15265,2316,104159,76852,73.80%
38,Tirur,GEN,P. T. Kunhi Mohammed Alias Kunhutty Hajee,MUL,38469,Mohammed S/O Abdu,IML,36201,18160,86353,49980,57.90%
39,Ponnani,GEN,K. Sreedharan,CPM,38791,P. T. Kohanakrishnan,INC(I),36475,3762,91428,67897,74.30%
40,Kuttippuram,GEN,Korambayil Ahammed Haji,MUL,33863,P. V. S. Musthafa Pookkoya Thangal,IML,15703,3914,92363,70923,76.80%
41,Mankada,GEN,K. P. Majeed,MUL,35623,Abu Haji K.,IML,31861,619,91523,60293,65.90%
42,Perinthalmanna,GEN,Nalakath Sooppy,MUL,37203,Paloli Mohammed Kutty,CPM,33289,3451,96865,60652,62.60%
43,Thrithala,SC,M. P. Thami,INC(I),30214,N. Subbayyan,INC(U),29595,3184,93009,47573,51.10%
44,Pattambi,GEN,M. P. Gangadharan,INC(I),31570,E. P. Gopalan,CPI,28119,418,103646,68904,66.50%
45,Ottapalam,GEN,V. C. Kabeer,INC(U),23683,P. R. Nambiar,JNP,20499,1388,103632,61246,59.10%
