S.no,Consisteuncy,Type,Winning ,Party,Winner Votes,Runner,Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
1,Manjeswar,GEN,A . Subba Rao,CPI,19554,,INC,19391,163,78678,54168,68.80%
2,Kasaragod,GEN,C. T. Ahammad Ali,IUML,25676,,BJP,17657,8019,80958,60235,74.40%
3,Udma,GEN,M. Kunhiraman Nambiar,IND,32946,,IUML,26327,6619,94591,69740,73.70%
4,Hosdrug,SC,K . T. Kumaran,CPI,41728,,INC,32144,9584,103876,74725,71.90%
5,Trikkarpur,GEN,O . Bharathan,CPI(M),48197,,KC,35995,12202,106654,84739,79.50%
6,Irikkur,GEN,K .C. Joseph,IND,39261,,JNP,30037,9224,91592,70976,77.50%
7,Payyannur,GEN,M. V. Raghavan,CPI(M),44271,,INC,28311,15960,101413,77193,76.10%
8,Taliparamba,GEN,C. P. Moossankutty,CPI(M),46313,,IND,35774,10539,107819,84931,78.80%
9,Azhicode,GEN,P. Devootty,CPI(M),36845,,JNP,26389,10456,83900,64225,76.50%
10,Cannanore,GEN,P. Bhaskaran,IND,34871,,IND,32130,2741,93058,70012,75.20%
11,Edakkad,GEN,A . K . Sasheendran,ICS,38837,,IND,31294,7543,90995,73217,80.50%
12,Tellicherry,GEN,Kodiyeri Balakrishnan,CPI(M),40766,,IND,23666,17100,94698,65054,68.70%
13,Peringalam,GEN,N. A . Mammoo Haji,AIML,38825,,INC,19973,18852,94099,68444,72.70%
14,Kuthuparamba,GEN,P . V. Kunhikannan,CPI(M),42111,,KC,26648,15463,91889,69798,76.00%
15,Peravoor,GEN,K. P. Noorudin,IND,36903,,ICS,36777,126,98554,77445,78.60%
16,North Wynad,ST,K . Raghavan Master,INC,32225,,CPI,25306,6919,93268,63046,67.60%
17,Badagara,GEN,K . Chandrasekharan,JNP,42475,,IND,30298,12177,101754,77759,76.40%
18,Nadapuram,GEN,K . T. Kanaran,CPI,39927,,INC,37660,2267,98634,79189,80.30%
19,Meppayur,GEN,A . V. Abdurahiman,AIML,42022,,IUML,34835,7187,102242,80576,78.80%
20,Quilandy,GEN,Manimangalath Kutaly,INC,35293,,ICS,33673,1620,102392,79140,77.30%
21,Perambra,GEN,A . K . Padmanabhan Master,CPI(M),41308,,KC,34585,6723,97458,80044,82.10%
22,Balusseri,GEN,A . C . Shanmukhadas,ICS,34055,,IND,27370,6685,88513,70319,79.40%
23,Koduvally,GEN,P. V. Muhammad,IUML,35238,,JNP,31498,3740,96735,73647,76.10%
24,Calicut- I,GEN,N. Chandrasekhara Kurup,CPI(M),34830,,IND,32757,2073,108614,73783,67.90%
25,Calicut- Ii,GEN,P. M. Abubacker,AIML,35109,,IND,29155,5954,102980,71110,69.10%
26,Beypore,GEN,K. Moosakutty,CPI(M),37592,,INC,29015,8577,103497,76539,74.00%
27,Kunnamangalam,SC,K. P. Raman,AIML,28901,,IND,27266,1635,84381,63510,75.30%
28,Thiruvambadi,GEN,P. Cyriac John,IND,30950,,IND,27630,3320,84151,60223,71.60%
