Sl No.,Constituency Name,Category,Winner ,Party, Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwaram,GEN,Cherkalam Abdullah,MUL,33853,H. Shankara Alva,BJP,27107,6746,105374,81937,77.80%
2,Kasaragod,GEN,C. T. Ahammad Ali,MUL,41407,Shrikrishan Bhat,BJP,27350,14057,108118,87786,81.20%
3,Udma,GEN,K. P. Kunhikannan,INC,43775,Purushothaman K.,CPM,35930,7845,122373,95985,78.40%
4,Hosdrug,(SC),N. Manoharan Master,INC,46677,Pallipram Balan,CPI,46618,59,129103,105014,81.30%
5,Trikaripur,GEN,E. K. Nayanar,CPM,56037,K. Kunhikrishnan,INC,49620,6417,130995,112272,85.70%
6,Irikkur,GEN,K. C. Joseph,INC,51437,James Mathew,CPM,43961,7476,115999,100667,86.80%
7,Payyannur,GEN,C. P. Narayanan,CPM,50421,M. K. Raghavan,INC,42581,7840,121302,100781,83.10%
8,Taliparamba,GEN,K. K. N. Pariyaram,CPM,52247,C. P. Moossankutty,IND,49631,2616,123643,106997,86.50%
9,Azhikode,GEN,M. V. Raghavan,IND,41629,E. P. Jayarajan,CPM,40240,1389,99997,86076,86.10%
10,Cannanore,GEN,P. Bhaskaran,INC,42787,A. K. Sasheendran,ICS(SCS),34739,8048,108426,86515,79.80%
11,Edakkad,GEN,O. Bharathan,CPM,45008,A. P. Jayasheelan,INC,41012,3996,107821,92265,85.60%
12,Tellicherry,GEN,Kodiyeri Balakrishnan,CPM,44520,K. Sudhakaran,INC,39152,5368,113231,92300,81.50%
13,Peringalam,GEN,P. R. Kurup,JNP,41694,E. T. Mohammed Basheer,MUL,41338,356,115414,91676,79.40%
14,Kuthuparamba,GEN,K. P. Mamoo Master,CPM,47734,P. Ramakrishnan,INC,38771,8963,112062,95230,85.00%
15,Peravoor,GEN,K.P. Noordeen,INC,47817,Ramachandran Kadannapally,ICS(SCS),46012,1805,121937,103981,85.30%
16,North Wynad,(ST),K.Raghvan Master,INC,46368,K.C. Kunhiraman,CPM,37409,8959,114899,91413,79.60%
17,Badagara,GEN,K. Chandrasekharan,JNP,50309,Sujanapal A.,INC,39776,10533,120023,97436,81.20%
18,Nadapuram,GEN,Sathyan Mokeri,CPI,46945,N.P. Moideen,INC,45688,1257,118093,99059,83.90%
19,Meppayur,GEN,A.Kanaran,CPM,48337,A.V. Abdurahiman Haji,MUL,44663,3674,115029,97788,85.00%
20,Quilandy,GEN,M.T. Padma,INC,48444,T. Devi,CPM,43742,4702,122313,102489,83.80%
21,Perambra,GEN,A.K. Padmanabhan,CPM,49034,K.A. Devassia,IND,46584,2450,116076,102203,88.00%
22,Balusseri,GEN,A.C. Shanmukhadas,ICS(SCS),46832,Vijaya D. Nair,INC,35348,11484,106242,92050,86.60%
23,Koduvally,GEN,P. M. Aboobacker,MUL,50373,P. Raghavan Nair,JNP,37062,13311,117024,99034,84.60%
24,Calicut- I,GEN,M. Dasan,CPM,44810,M. Kamalam,INC,37102,7708,119628,96745,80.90%
25,Calicut- II,GEN,C.P. Kunhu,CPM,40749,K.K. Mohammed,MUL,38472,2277,118909,94191,79.20%
26,Beypore,GEN,T.K. Hamza,CPM,47537,Abdurahiman Master,MUL,40206,7331,128586,106653,82.90%
27,Kunnamangalam,(SC),C.P. Balan Vydiar,CPM,37557,K.P. Raman,MUL,37264,293,102739,86672,84.40%
28,Thiruvambady,GEN,P.P. George,INC,48730,Mathai Chacko,CPM,32946,15784,107959,88936,82.40%
29,Kalpetta,GEN,M.P. Veerendra Kumar,JNP,52362,C. Mammutty,MUL,34404,17958,108058,91134,84.30%
30,Sultan'S Battery,GEN,K.K. Ramachandran Master,INC,39102,P. Cyriac John,ICS(SCS),34976,4126,120884,99141,82.00%
31,Wandoor,(SC),Pandalam Sudhakaran,INC,49848,U. Uthaman,CPM,35967,13881,120384,95981,79.70%
32,Nilambur,GEN,Aryadan Mohammed,INC,55154,Devadas Pottekad,CPM,44821,10333,132185,109906,83.10%
33,Manjeri,GEN,Ishaque Kurrikkal,MUL,56783,G. Kunjukrishan Pillai,LKD,24099,32684,115597,89765,77.70%
34,Malappuram,GEN,P.K. Kunhalikutty,MUL,48641,N. Aboobacker,ICS(SCS),18698,29943,117357,78050,66.50%
35,Kondotty,GEN,P. Seethi Haji,MUL,43961,Madathil Muhammed Haji,JNP,27765,16196,115011,89761,78.00%
36,Tirurangadi,GEN,"Kunhalikutty Keyi, C. P.",MUL,45586,E.P. Muhammedali,CPI,19738,25848,114628,81195,70.80%
37,Tanur,GEN,E. Ahamed,MUL,49530,K. Bappu,CPM,13745,35785,117279,78152,66.60%
38,Tirur,GEN,Moideenkutty Haji K. (Bava Haji),MUL,46674,Kuruniyan Syed,ICS(SCS),37283,9391,122225,96154,78.70%
39,Ponnani,GEN,P. T. Mohanakrishnan,INC,44432,E.K. Imbichi Bava,CPM,42299,2133,119337,95776,80.30%
40,Kuttippuram,GEN,Korambavil Ahamed Haji,MUL,45654,Choorappilakkal Alavikutty,CPM,15087,30567,103139,71468,69.30%
41,Mankada,GEN,Abdul Majeed K.P.,MUL,45810,P. Moidu,CPM,34888,10922,112470,87886,78.10%
42,Perinthalmanna,GEN,Nalakath Sooppy,MUL,48027,R. N. Manzhi,CPM,39833,8194,114668,91631,79.90%
43,Thrithala,(SC),M.P. Thami,INC,39977,M.K. Krishnan,CPM,36881,3096,108792,85729,78.80%
44,Pattambi,GEN,Leela Damodara Menon,INC,40507,K.E. Ismail,CPI,35005,5502,112214,85710,76.40%
45,Ottapalam,GEN,K. Sankaranarayanan,INC,38237,V. C. Kabeer,ICS(SCS),36527,1710,108844,82160,75.50%
46,Sreekrishnapuram,GEN,P. Balan,INC,46898,E. Padmanabhan,CPM,43380,3518,124151,96887,78.00%
47,Mannarkkad,GEN,Kalladi Mohammed,MUL,48450,P. Kumaran,CPI,44990,3460,127424,99239,77.90%
48,Malampuzha,GEN,T. Sivadasa Menon,CPM,43419,A. Thankappan,INC,33105,10314,105629,83850,79.40%
49,Palghat,GEN,C. M. Sundaram,IND,38774,Girija Surendran,CPM,32709,6065,115949,88326,76.20%
50,Chittur,GEN,K.A. Chandran,INC,49112,K. Krishnamurty,JNP,40875,8237,113118,93953,83.10%
51,Kollengode,GEN,C. T. Krishnan,CPM,45933,K.P. Gangadhara Menon,INC,41831,4102,118341,94875,80.20%
52,Coyalmannam,(SC),T. K. Arumughan,CPM,45394,Ayyappan Master,INC,39604,5790,114704,90411,78.80%
53,Alathur,GEN,C. K. Rajendran,CPM,44381,C.S. Ramachandran Master,IND,43170,1211,116246,90401,77.80%
54,Chelakara,(SC),M. A. Kittappan,INC,44011,K. V. Pushpa,CPM,36260,7751,115663,89004,77.00%
55,Wadakkanchery,GEN,K. S. Narayanan Namboodiry,INC,45389,C. K. Nanu,JNP,37206,8183,119862,94376,78.70%
56,Kunnamkulam,GEN,K.P. Aravindakshan,CPM,43327,V. Balaram,INC,42918,409,117350,94193,80.30%
57,Cherpu,GEN,V. V. Raghavan,CPI,43547,K.M. Radhakrishnan,IND,37260,6287,109032,88166,80.90%
58,Trichur,GEN,E. K. Menon,CPM,41822,M. Venugopala Menon,IND,37562,4260,112623,88881,78.90%
59,Ollur,GEN,A. M. Paraman,CPI,46513,Raghavan Pozhakadavil,INC,44780,1733,119740,97380,81.30%
60,Kodakara,GEN,K. P. Viswanathan,INC,43172,M. A. Karthikeyan,CPM,40636,2536,115376,94104,81.60%
61,Chalakudi,GEN,K. J. George,JNP,39389,K. J. Rappai,KEC,34996,4393,105494,84563,80.20%
62,Mala,GEN,K. Karunakaran,INC,46301,Meenakshi Thampan,CPI,40009,6292,108790,90000,82.70%
63,Irinjalakuda,GEN,Lonappan Nambadan,IND,48567,M. C. Paul,INC,37478,11089,113171,93208,82.40%
64,Manalur,GEN,V. M. Sudheeran,INC,41426,P. C. Joseph,CPM,35239,6187,99491,83161,83.60%
65,Guruvayoor,GEN,P. K. K. Bava,MUL,38611,P. C. Hameed Haji,IND,30677,7934,107677,81487,75.70%
66,Nattika,GEN,Krishnan Kaniyamparambil,CPI,37009,Sidharthan Kattungal,INC,35028,1981,101442,81528,80.40%
67,Kodungallur,GEN,V. K. Rajan,CPI,45251,K. P. Dhanapalan,INC,41755,3496,110277,94277,85.50%
68,Ankamali,GEN,M. V. Mani,KEC,53267,M. C. Josephine,CPM,47767,5500,123774,106548,86.10%
69,Vadakkekara,GEN,S. Sarma,CPM,43726,M. I. Shanavas,INC,43324,402,106217,92941,87.50%
70,Parur,GEN,N. Sivan Pillai,CPI,39495,A. C. Jose,INC,37129,2366,95972,81647,85.10%
71,Narakkal,(SC),K.K. Madhavan,ICS(SCS),43051,Malippuram Bhaskaran,INC,39083,3968,104860,86283,82.30%
72,Ernakulam,GEN,M.K. Sanoo,IND,42904,A.L. Jacob,INC,32872,10032,123981,95907,77.40%
73,Mattancherry,GEN,M.J. Zakaria,MUL,25906,T.M. Mohamed,CPM,24033,1873,88465,67100,75.80%
74,Palluruthy,GEN,"T.P, Peethambaran Master",ICS(SCS),49549,M.K. Raghavan,INC,46340,3209,126106,104382,82.80%
75,Thrippunithura,GEN,V. Viswanatha Menon,CPM,51965,S.N. Nair,IND,44452,7513,128565,105878,82.40%
76,Alwaye,GEN,K. Mohamadali,INC,52159,T.O. Kather Pallai,IND,46035,6124,137861,113076,82.00%
77,Perumbavoor,GEN,Thankachan P.P.,INC,47094,Raman Kartha,JNP,39989,7105,111065,95437,85.90%
78,Kunnathunad,GEN,T. H. Musthaffa,INC,49852,V. B. Cherian,CPM,44075,5777,111678,98844,88.50%
79,Piravom,GEN,Gopi Kottamunikkal,CPM,41614,Benny Behanan,INC,25314,16480,110769,94650,85.40%
80,Muvattupuzha,GEN,A. V. Issac,IND,43970,V. V. Joseph,KEC,40514,3456,112650,93413,82.90%
