Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party.1,Runner Vote,Margin,Total electors,Total Votes,Poll%
1,Manjeshwar,GEN,Cherkalam Abdullah,MUL,29603,K.G. Marar,BJP,28531,1072,128454,84870,66.10%
2,Kasaragod[16],GEN,C.T. Ahamdali,MUL,39143,Sri Krishna Bhat,BJP,24269,14874,131489,87586,66.60%
3,Udma,GEN,P. Raghavan[17],CPI(M),47169,K.Po. Kunhikannan,INC,46212,957,145976,106358,72.90%
4,Hosdrug[18],(SC),M. Narayanan,CPI,60536,Kottara Vasudev,INC,53858,6678,157240,123598,78.60%
5,Trikaripur,GEN,E.K. Nayanar,CPM,69437,Sreedharan C.K.,INC,55105,14332,165013,133528,80.90%
6,Irikkur,GEN,K.C. Joseph,INC,62395,Goorge Sebastian,KEC,45647,16748,144905,112816,77.90%
7,Payyannur,GEN,C.P. Narayanan,CPM,66530,M.P. Murali,INC,48365,18165,152706,120147,78.70%
8,Taliparamba,GEN,Pacheni Kunhiaraman,CPM,65973,M.K. Raghavan,INC,55273,10700,155978,126976,81.40%
9,Azhikode,GEN,E.P. Jayarajan,CPM,51466,C.P. Moosankutty,CPM(K),43757,7709,123774,98580,79.60%
10,Cannanore,GEN,N. Ramakrishnan,INC,51742,A.K. Saseendran,ICS(SCS),36937,14805,129574,95084,73.40%
11,Edakkad,GEN,O. Bharathan,CPM,54965,K. Ssudhakaran,INC,54746,219,135532,112591,83.10%
12,Tellicherry,GEN,K.P. Mamoo Master,CPM,48936,A.D. Mustaffa,INC,41550,7386,137528,101002,73.40%
13,Peringalam,GEN,K.M. Sooppy,MUL,49183,P.R. Karup,JD,47534,1649,141409,103745,73.40%
14,Kuthuparamba,GEN,Pinaray Vijayan,CPM,58842,P. Ramakrishnan,INC,45782,13060,141876,110844,78.10%
15,Peravoor,GEN,K.P. Noorudheen,INC,60212,Ramachandran Kadannapally,ICS(SCS),51834,8378,150678,120294,79.80%
16,North Wynad,(ST),K. Raghavan Master,INC,50685,K.C. Kuniharaman,CPM,43150,7475,142081,101403,71.40%
17,Badagara,GEN,K. Chandrasekharan,JD,59820,K.C. Abu,INC,47336,12484,152893,117392,76.80%
