Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,Cherkalam Abdullah,IUML,34705,V.Balakrishna Shetty,BJP,32413,2292,141375,95321,67.40%
2,Kasaragod,GEN,C.T.Ahammed Ali,IUML,33932,K.Madhava Herala,BJP,30149,3783,143746,97221,67.60%
3,Udma,GEN,P. Raghavan,CPI(M),50854,K.P.Kunhikannan,INC,40459,10395,159185,110577,69.50%
4,Hosdrug,(SC),M. Narayanan,CPI,62786,C.P. Krishnan,INC,50977,11809,174685,125835,72.00%
5,Trikaripur,GEN,K.P.Sateesh Chandran,CPI(M),71234,Sony Sebastian,INC,55486,15748,173989,133625,76.80%
6,Irikkur,GEN,K.C. Joseph,INC,62407,A.J. Joseph,KEC,44575,17832,154173,113907,73.90%
7,Payyannur,GEN,Pinarayi Vijayan,CPI(M),70870,K.N.Kannoth,INC,42792,28078,159904,120763,75.50%
8,Taliparamba,GEN,M.V.Govindan Master,CPI(M),70550,Satheesan Pacheni,INC,52933,17617,166910,130091,77.90%
9,Azhikode,GEN,T.K.Balan,CPI(M),52240,T.P.Hareendran,CMPKSC,37734,14506,131997,98426,74.60%
10,Cannanore,GEN,K.Sudhakaran,INC,45148,N.Ramakrishnan,IND,37286,7862,135503,95243,70.30%
11,Edakkad,GEN,M.V.Jayarajan,CPI(M),59239,A.D.Mustafa,INC,51955,7284,149565,117496,78.60%
12,Tellicherry,GEN,K.P.Mammu Master,CPI(M),51985,K.C.Kadambooran,INC,33635,18350,141280,96491,68.30%
13,Peringalam,GEN,P.R.Kurup,JD,51921,K.M.Soopy,IUML,37841,14080,152636,109061,71.50%
14,Kuthuparamba,GEN,K.K.Shylaja,CPI(M),61519,M.P.Krishnan Nair,INC,42526,18993,151050,115430,76.40%
15,Peravoor,GEN,K.T.Kunnahammed,ICS,57450,K.P.Noorudeen,INC,57264,186,163451,125549,76.80%
16,North Wynad,(ST),Radha Raghavan,INC,50617,K.C.Kunhiraman,CPI(M),42652,7965,160018,108977,68.10%
17,Badagara,GEN,C K Nanu,JD,67145,"Vathsalan, C.",INC,40159,26986,160718,119139,74.10%
18,Nadapuram,GEN,Sathyan Mokeri,CPI,65561,"Abu, K.C.",INC,50944,14617,161232,124743,77.40%
