S.NO,Constituency,Type,Winner ,Party,Winner Votes,Runner,Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,Cherkalam Abdullah,IUML,47494,C.K. Padmanabhan,BJP,34306,13188,154436,107219,69.40%
2,Kasaragod,GEN,C.T. Ahammed Ali,IUML,51890,P.K. Krishna Das,BJP,33895,17995,158881,109464,68.90%
3,Udma,GEN,K.V. Kunhiraman,CPI(M),62817,Adv.C.K.Sreedharan,INC,53153,9664,169876,128832,75.80%
4,Hosdrug,SC,M. Kumaran,CPI,68033,C.J.Krishnan,INC,61055,6978,182038,139521,76.60%
5,Trikaripur,GEN,Satheesh Chandran K.P.,CPI(M),79874,Karimbil Krishnan,INC,62865,17009,182751,144928,79.30%
6,Irikkur,GEN,K.C. Joseph,INC,67788,Prof.Mercy John,KEC,50884,16904,165238,124070,75.10%
7,Payyannur,GEN,P.K. Sreemathi Teacher,CPI(M),73233,M.Narayanan Kutty,INC,50495,22738,171138,128930,75.30%
8,Taliparamba,GEN,M.V. Govindan Master,CPI(M),76975,K.Surendran,INC,61688,15287,176756,145389,82.30%
9,Azhikode,GEN,T.K. Balan,CPI(M),56573,C.A. Ajeer,CMPKSC,46777,9796,142447,107257,75.30%
10,Cannanore,GEN,K. Sudhakaran,INC,58080,Kasim Irikkur,IND,38947,19133,142841,102250,71.60%
11,Edakkad,GEN,M.V. Jayarajan,CPI(M),65835,N.Ramakrishnan,INC,60506,5329,159551,129807,81.40%
12,Tellicherry,GEN,Kodiyeri Balakrishnan,CPI(M),53412,Sajeev Maroli,INC,46369,7043,135282,102934,76.10%
13,Peringalam,GEN,K.P. Mohanan,JD(S),52657,K.K. Muhammad,IUML,45679,6978,144564,111728,77.30%
14,Kuthuparamba,GEN,P.Jayarajan,CPI(M),71240,K. Prabhakaran,INC,52620,18620,150321,125277,83.30%
15,Peravoor,GEN,Prof. A.D. Mustaffa,INC,64835,K.T. Kunhahammed,NCP,63662,1173,166530,137189,82.40%
16,North Wayanad,ST,Radha Raghavan,INC,65684,Saradha Sajeevan,CPI(M),51839,13845,152613,127120,83.30%
17,Badagara,GEN,C.K.Nanu,JD(S),61636,K. Balanarayanan,INC,47477,14159,165909,122057,73.60%
18,Nadapuram,GEN,Benoy Viswam,CPI,64110,K.P. Rajan,INC,57917,6193,163629,129408,79.10%
19,Meppayur,GEN,Mathai Chacko,CPI(M),63709,P. Ammed Master,IUML,58953,4756,158091,130884,82.80%
20,Koyilandi,GEN,Adv.P.Sankaran,INC,66644,P. Viswan,CPI(M),60188,6456,176790,138171,78.20%
21,Perambra,GEN,T.P. Ramakrishnan,CPI(M),66695,P.T. Jose,KEC(M),64011,2684,167578,137175,81.90%
22,Balusseri,GEN,A.C. Shanmukhadas,NCP,54218,Balakrishnan Kidave,INC,51256,2962,152340,117730,77.30%
23,Koduvally,GEN,C. Mammutty,IUML,65209,C. Mohasin,JD(S),48332,16877,163950,129294,78.90%
24,Kozhikode I,GEN,Adv. A. Sujanapal,INC,52226,Adv. P. Sathidevi,CPI(M),43849,8377,149227,104724,70.20%
25,Kozhikode II,GEN,T.P.M Zahir,IUML,48886,Elamaram Kareem,CPI(M),48099,787,151665,105463,69.50%
26,Beypore,GEN,V.K.C. Mammed Koya,CPI(M),62636,M.C.Mayin Haji,IUML,57565,5071,181388,135852,74.90%
27,Kunnamangalam,SC,U.C.Raman,IND,55321,Perincheri Kunhan,CPI(M),51610,3711,155277,120726,77.70%
28,Thiruvambady,GEN,C.Moinkutty,IUML,60525,P. Cyriac John,NCP,44849,15676,158357,114479,72.30%
29,Kalpetta,GEN,K.K. Ramachandran Master,INC,58380,K.K.Hamza,JD(S),40940,17440,136128,110224,81.00%
30,Sulthanbathery,GEN,N.D.Appachan,INC,68685,Father Mathai Nooranal,IND,45132,23553,157007,126639,80.70%
31,Wandoor,SC,A.P. Anilkumar,INC,80059,N Kannan,CPI(M),51834,28225,175030,136863,78.20%
32,Nilambur,GEN,Aryadan Muhammed,INC,76937,P. Anvar Master,IND,55317,21620,185345,140081,75.60%
33,Manjeri,GEN,Ishaque Kurikkal,IUML,71529,Prof Abraham P. Mathew,JD(S),36933,34596,163759,114533,69.90%
34,Malappuram,GEN,M.K. Muneer,IUML,61924,K.S. Vijayam,NCP,25907,36017,155055,92476,59.60%
35,Kondotty,GEN,Adv. K.N.A. Kader,IUML,64224,E.K. Maleeha,CPI(M),37131,27093,158679,110591,69.70%
36,Tirurangadi,GEN,K.Kutty Ahammed Kutty,IUML,57027,A.V. Abdu Haji,IND,37854,19173,161342,107689,66.70%
37,Tanur,GEN,P.K. Abdu Rabb,IUML,55562,K.V. Sidheeque,CPI(M),28548,27014,157555,92254,58.60%
38,Tirur,GEN,E.T.Mohhammed Basheer,IUML,58270,Prof. A.P. Abdul Vahab,INL,45511,12759,164377,114426,69.60%
39,Ponnani,GEN,M.P.Gangadharan,INC,58054,T.K.Hamza,CPI(M),51447,6607,148742,117238,78.80%
40,Kuttippuram,GEN,P.K.Kunhalikutty,IUML,50201,Kolakkattil Ibrahimkutty,RSP,24096,26105,132209,80909,61.20%
41,Mankada,GEN,Manjalamkuzhi Ali,IND,67758,K.P.A.Majeed,IUML,64700,3058,170264,139844,82.10%
42,Perinthalmanna,GEN,Nalakath Soopy,IUML,64072,Sasikumar,CPI(M),58166,5906,159084,128414,80.70%
43,Thrithala,SC,V.K. Chandran,CPI(M),54762,P. Balan,INC,54263,499,150039,116106,77.40%
44,Pattambi,GEN,C.P.Mohammed,INC,53456,K.E. Ismail,CPI,52925,531,152919,114259,74.70%
45,Ottapalam,GEN,V.C. Kabeer Master,NCP,57895,C.V. Balachandran Master,INC,40045,17850,151308,109320,72.20%
46,Sreekrishnapuram,GEN,Girija Surendran,CPI(M),62500,V.S.Vijaya Raghavan,INC,62479,21,173433,132242,76.20%
47,Mannarkkad,GEN,Kalathil Abdulla,IUML,67369,Jose Baby,CPI,60744,6625,179934,136070,75.60%
48,Malampuzha,GEN,V.S.Achuthanadan,CPI(M),53661,Satheesan Pacheni,INC,48958,4703,151340,110469,73.00%
49,Palghat,GEN,K.Sankara Narayanan,INC,53831,T.K. Noushad,CPI(M),43026,10805,163131,111013,68.10%
50,Chittur,GEN,K.Achuthan Chalakalam,INC,59512,K.Krishnankutty Ezhuthanikalam,JD(S),45703,13809,145730,113664,78.00%
51,Kollengode,GEN,K.A.Chandran,INC,56927,R.Chinnakuttan,CPI(M),49533,7394,150301,113305,75.40%
52,Coyalmannam,SC,A.K.Balan,CPI(M),52842,C. Prakash,INC,48811,4031,152752,109173,71.50%
53,Alathur,GEN,V.Chenthamarakshan,CPI(M),59485,R.Chellamma Teacher,INC,46980,12505,154391,112447,72.80%
54,Chelakara,SC,K.Radhakrishnan,CPI(M),56451,K.A.Thulasi,INC,54976,1475,155592,116309,74.80%
55,Wadakkanchery,GEN,Adv.V.Balaram,INC,59415,M.P.Pauly,KEC,50384,9031,161775,117107,72.40%
56,Kunnamkulam,GEN,T.V.Chandramohan,INC,59679,Usha Teacher,CPI(M),55383,4296,163447,122830,75.10%
57,Cherpu,GEN,Adv. K.P. Rajendran,CPI,51995,M.K. Kannan,IND,49752,2243,152214,107789,70.80%
58,Trichur,GEN,Adv.Therambil Ramakrishnan,INC,54424,K.P. Aravindakshan,CPI(M),40718,13706,152274,104285,68.50%
59,Ollur,GEN,P. P. George,INC,66100,C.N.Jayadevan,CPI,55402,10698,175363,124431,71.00%
60,Kodakara,GEN,K.P. Viswanathan,INC,57923,Lonappan Nambadan,IND,50591,7332,156192,117910,75.50%
61,Chalakudi,GEN,Prof. Savithri Lakshmanan,INC,51606,M.A. Paulose,JD(S),40944,10662,146075,100134,68.50%
62,Mala,GEN,T.U. Radhakrishnan,INC,57976,U.S. Sasi,CPI,45995,11981,150873,110727,73.40%
63,Irinjalakuda,GEN,Thomas Unniyadan,KEC(M),54242,T. Sasidharan,CPI(M),53836,406,158129,116583,73.70%
64,Manalur,GEN,M.K. Paulson Master,INC,50283,N.R.Balan,CPI(M),44041,6242,134840,100460,74.50%
65,Guruvayoor,GEN,P.K.K. Bhava,IUML,52487,P.T.Kunju Muhammad,IND,42961,9526,144835,104740,72.30%
66,Nattika,GEN,T.N. Prathapan,INC,56517,Krishnan Kaniyamparambil,CPI,44770,11747,137568,104060,75.60%
67,Kodungallur,GEN,Umesh Challiyil,JPSS,59369,Prof. Meenakshi Thampan,CPI,47428,11941,153424,116762,76.10%
68,Ankamali,GEN,P.J. Joy,INC,68300,Prof. V.J. Pappu,IND,50123,18177,172937,121021,70.00%
69,Vadakkekara,GEN,M.A. Chndrasekharan,INC,53959,Adv. P. Rajeev,CPI(M),52039,1920,150551,113731,75.50%
70,Parur,GEN,Adv. V.D. Satheesan,INC,48859,P. Raju,CPI,41425,7434,139275,97515,70.00%
71,Narakkal,SC,Dr. M. A. Kuttappan,INC,49557,M.K. Purushothaman,CPI(M),45343,4214,150562,100846,67.00%
72,Ernakulam,GEN,Prof. K V Thomas,INC,51265,Sebastian Paul,IND,39421,11844,185185,102172,55.20%
73,Mattancherry,GEN,V K Ebrahim Kunju,IUML,34660,M A Thomas,IND,22507,12153,119076,69929,58.70%
74,Palluruthy,GEN,Dominic Presentation,INC,66601,T P Peethambaran Master,NCP,56618,9983,182469,125613,68.80%
75,Thrippunithura,GEN,K Babu,INC,81590,K Chandran Pillai,CPI(M),57294,24296,214469,147418,68.70%
76,Alwaye,GEN,K Muhammod Ali,INC,68863,Adv K K Sajitha,IND,49183,19680,208546,131436,63.00%
77,Perumbavoor,GEN,Saju Paul,CPI(M),58602,P P Thankachan,INC,57414,1188,163815,123395,75.30%
78,Kunnathunad,GEN,Musthafa T. H,INC,69220,M P Varghese,CPI(M),47463,21757,160717,123321,76.70%
79,Piravom,GEN,T M Jacob,KEC(J),63791,Gopi Kottamurikal,CPI(M),51071,12720,148524,117213,78.90%
80,Muvattupuzha,GEN,Johny Nelloor,KEC(J),54031,George Kunnappilly,CPI,45138,8893,149151,105131,70.50%
81,Kothamangalam,GEN,V J Poulose,INC,58389,Prof. Baby M Varghese,KEC,45966,12423,154901,112360,72.50%
82,Thodupuzha,GEN,P T Thomas,INC,67428,P J Joseph,KEC,61303,6125,160984,134610,83.60%
83,Devicolam,SC,A K Moni,INC,55287,K Balasubrahmanian,CPI(M),50721,4566,159138,111948,70.30%
84,Idukki,GEN,Roshy Augustine,KEC(M),47092,M S Joseph,IND,33373,13719,166429,114644,68.90%
85,Udumbanchola,GEN,K K Jayachandran,CPI(M),64493,Mathew Stephan,IND,55652,8841,188931,133207,70.50%
86,Peermade,GEN,Adv. E.M Augasthy,INC,48798,C A Kurian,CPI,45714,3084,121855,96858,79.50%
87,Kanjirappally,GEN,George J Mathew,INC,40486,Adv Shanavas,CPI(M),39017,1469,138017,102244,74.10%
88,Vazhoor,GEN,K Narayanakurup,KEC(M),43820,Prof. A N Thulasidas,CPI,37661,6159,124263,85285,68.60%
89,Changanacherry,GEN,C F Thomas,KEC(M),53824,Prof. James Manimala,IND,40783,13041,151747,103146,68.00%
90,Kottayam,GEN,Mercy Ravi,INC,57795,Vaikom Viswan,CPI(M),45954,11841,145154,109112,75.20%
91,Ettumanoor,GEN,Thomas Chazhikadan,KEC(M),59525,Thambippodippara,CPI(M),39381,20144,136429,101268,74.20%
92,Puthuppally,GEN,Oommen Chandy,INC,58531,Cherian Philip,IND,45956,12575,146990,110786,75.40%
93,Poonjar,GEN,P C George Plathottom,KEC,48499,Adv. T.V. Abraham,KEC(M),46605,1894,125310,96768,77.20%
94,Palai,GEN,K M Mani,KEC(M),52838,Uzhavoor Vijayan,NCP,30537,22301,130305,83425,64.00%
95,Kaduthuruthy,GEN,Stephen George,KEC(M),50055,Adv. Mons Joseph,KEC,45406,4649,131714,99902,75.80%
96,Vaikom,SC,P Narayanan,CPI,54675,K V Padmanabhan,INC,46922,7753,141359,106943,75.70%
97,Aroor,GEN,K R Gowriamma,JPSS,61073,K V Devadas,CPI(M),48731,12342,154969,122144,78.80%
98,Sherthalai,GEN,A K Antony,INC,59661,C K Chandrappan,CPI,52801,6860,141109,115220,81.70%
99,Mararikulam,GEN,Dr. Thomas Issac,CPI(M),75476,Adv. P J Francis,INC,67073,8403,182435,147540,80.90%
100,Alleppey,GEN,K C Venugopal,INC,52203,Adv. A M Abdulraheem,IND,33050,19153,138117,89896,65.10%
101,Ambalapuzha,GEN,D Sugathan,INC,53119,C K Sadasivan,CPI(M),48602,4517,143058,103325,72.20%
102,Kuttanad,GEN,Dr. K C Joseph,KEC,44534,Prof. Oommen Mathew,KEC(J),34144,10390,119188,84649,71.00%
103,Haripad,GEN,T K Devakumar,CPI(M),59439,Prof. A V Thamarakshan,RSPK(B),55252,4187,158829,118641,74.70%
104,Kayamkulam,GEN,M.M.Hassan,INC,52444,G Sudhakaran,CPI(M),50680,1764,144418,107289,74.30%
105,Thiruvalla,GEN,Adv. Mammen Mathai,KEC(M),42397,Dr. Varghese George,JD(S),32336,10061,115694,82151,71.00%
106,Kallooppara,GEN,Joseph M Puthussery,KEC(M),42238,Adv T S John,KEC,31013,11225,115273,78051,67.70%
107,AranIUMLa,GEN,Malethu Saraladevi,INC,37025,A Padmakumar,CPI(M),32900,4125,112967,80156,71.00%
108,Chengannur,GEN,Sobhana George,INC,41242,Adv. K K Ramachandran Nair,CPI(M),39777,1465,131196,94522,72.00%
109,Mavelikara,GEN,M Murali,INC,56402,N V Pradeepkumar,NCP,45419,10983,147414,105534,71.60%
110,Pandalam,SC,K.K. Shaju,JPSS,55043,K L Bindhu,CPI(M),50881,4162,157035,114105,72.70%
111,Ranni,GEN,Raju Abraham,CPI(M),48286,Bijili Panaveli,INC,43479,4807,124061,94250,76.00%
112,Pathanamthitta,GEN,K.K. Nair,INC,43776,Jerry Easo Oommen,KEC,37228,6548,127143,87188,68.60%
113,Konni,GEN,Adv. Adoor Prakash,INC,54312,Kadamminitta Ramakrishnan,IND,40262,14050,130754,99677,76.20%
114,Pathanapuram,GEN,K B Ganesh Kumar,KEC(B),58224,Adv. K Prakash Babu,CPI,48293,9931,155397,110383,71.00%
115,Punalur,GEN,P S Supal,CPI,57065,A Hidur Muhammod,INC,55522,1543,172072,118598,68.90%
116,Chadayamangalam,GEN,Prayar Gopalakrishnan,INC,49683,R Lathadevi,CPI,47764,1919,143376,100728,70.30%
117,Kottarakkara,GEN,R Balakrishna Pillai,KEC(B),55691,Adv.V Raveendran Nair,CPI(M),42723,12968,143170,103957,72.60%
118,Neduvathur,SC,Ezhukone Narayanan,INC,53579,Adv. K Somaprasad,CPI(M),48952,4627,148537,105792,71.20%
119,Adoor,GEN,Thiruvanchoor Radhakrishnan,INC,53034,Pallickal Prasannakumar,IND,37694,15340,125660,96831,77.10%
120,Kunnathur,SC,Kovoor Kunjumon,RSP,60827,Pandalam Sudhakaran,INC,57341,3486,165183,122662,74.30%
121,Karunagappally,GEN,Adv. A N Rajan Babu,JPSS,53206,K C Pillai,CPI,52367,839,146933,109709,74.70%
122,Chavara,GEN,Shibu Baby John,RSPK(B),60689,V P Ramakrishna Pillai,RSP,48206,12483,153473,113079,73.70%
123,Kundara,GEN,Kadavoor Sivadasan,INC,50875,Mercykutty Amma,CPI(M),46408,4467,139675,98622,70.60%
124,Quilon,GEN,Babu Divakaran,RSPK(B),50780,Prof. Kallada Vjayam,RSP,38505,12275,148190,93865,63.30%
125,Eravipuram,GEN,A.A.Azeez,RSP,55638,T.A.Ahamed Kabeer,IUML,55617,21,188242,125657,66.80%
126,Chathanoor,GEN,G.Prathapavarma Thampan,INC,53304,N.Anirudhan,CPI,52757,547,160402,112215,70.00%
127,Varkala,GEN,Varkala Kahar,INC,45315,P.K.Gurudasan,CPI(M),43327,1988,138446,92681,66.90%
128,Attingal,GEN,Vakkom Purushothaman,INC,51139,Kadakampally Surendran,CPI(M),40323,10816,136588,95274,69.80%
129,Kilimanoor,SC,N. Rajan,CPI,52012,K.Chandrababu,RSPK(B),48841,3171,167003,108922,65.20%
130,Vamanapuram,GEN,Pirappankodeu Murali,CPI(M),52749,Adv. S. Shine,JPSS,51140,1609,160262,109698,68.40%
131,Ariyanad,GEN,G. Karthikeyan,INC,54489,G.Arjunan,RSP,42418,12071,145586,98851,67.90%
132,Nedumangad,GEN,Mankode Radhakrishnan,CPI,62270,Palode Ravi,INC,62114,156,182135,130182,71.50%
133,Kazhakuttam,GEN,Adv. M.A. Vaheed,IND,49917,Adv. Bindu Ummar,CPI(M),45624,4293,174313,112307,64.40%
134,Trivandrum North,GEN,Adv K.Mohankumar,INC,63202,M.Vijayakumar,CPI(M),56818,6384,211264,129300,61.20%
135,Trivandrum West,GEN,M.V. Raghavan,CMPKSC,48912,Adv Antony Raju,KEC,40531,8381,171199,93928,54.90%
136,Trivandrum East,GEN,B. Vijayakumar,INC,43419,Karakulam Krishna Pillai,NCP,29351,14068,160274,88215,55.00%
137,Nemom,GEN,N. Sakthan,INC,56648,Venganoor P. Bhaskaran,CPI(M),47291,9357,180006,122251,67.90%
138,Kovalam,GEN,Dr. A. Neelalohithadasan Nadar,JD(S),54110,Adv.Alphonsa John,INC,52065,2045,174249,113373,65.10%
139,Neyyattinkara,GEN,Thampanoor Ravi,INC,56305,Adv. S.B. Rosechandran,JD(S),49830,6475,166114,112627,67.80%
140,Parassala,GEN,N. Sundaran Nadar,INC,55915,R. Selvaraj,CPI(M),44365,11550,159833,105206,65.80%
