S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,P. B. Abdul Razak,IUML,56870,K. Surendran,BJP,56781,89,208145,158238,76.00%
2,Kasaragod,GEN,N. A. Nellikkunnu,IUML,64727,Ravisha Tantri Kuntar,BJP,56120,8607,188848,144088,76.30%
3,Udma,GEN,K. Kunhiraman,CPI(M),70679,K. Sudhakaran,INC,66847,3832,199829,160465,80.30%
4,Kanhangad,GEN,E. Chandrasekharan,CPI(M),80558,Dhanya Suresh,INC,54547,26011,204445,160333,78.40%
5,Thrikaripur,GEN,M. Rajagopalan,CPI(M),79286,K. P. Kunhikannan,INC,62327,16959,189246,154897,81.80%
6,Payyanur,GEN,C. Krishnan,CPI(M),83226,Sajid Mavval,INC,42963,40263,173799,142400,81.90%
7,Kalliasseri,GEN,T. V. Rajesh,CPI(M),83006,Amritha Ramakrishnan,INC,40115,42891,175909,138127,78.50%
8,Taliparamba,GEN,James Mathew,CPI(M),91106,Rajesh Nambiar,KC(M),50489,40617,195688,159113,81.30%
9,Irikkur,GEN,K. C. Joseph,INC,72548,K. T. Jose,CPI,62901,9647,187023,147519,78.90%
10,Azhikode,GEN,K. M. Shaji,IUML,63082,M. V. Nikesh Kumar,CPI(M),60795,2287,172205,141045,81.90%
11,Kannur,GEN,Kadannappalli Ramachandran,Cong(S),54347,Satheesan Pacheni,INC,53151,1196,162198,125702,77.50%
12,Dharmadam,GEN,Pinarayi Vijayan,CPI(M),87329,Mambaram Divakaran,INC,50424,36905,182266,153012,83.90%
13,Thalassery,GEN,A. N. Shamseer,CPI(M),70741,A. P. Abdullakutty,INC,36624,34117,166342,132152,79.40%
14,Kuthuparamba,GEN,K. K. Shailaja,CPI(M),67013,K. P. Mohanan,JD(U),54722,12891,180683,146323,81.00%
15,Mattanur,GEN,E. P. Jayarajan,CPI(M),84030,K. P. Prashanth,JD(U),40649,43381,177911,147257,82.80%
16,Peravoor,GEN,Sunny Joseph,INC,65659,Binoy Kurian,CPI(M),57670,7989,167590,136047,81.20%
17,Mananthavady (ST),ST,O. R. Kelu,CPI(M),62436,P. K. Jayalakshmi,INC,61129,1307,187377,144542,77.10%
18,Sulthan Bathery (ST),ST,I. C. Balakrishnan,INC,75747,Rugmini Subrahmanian,CPI(M),64549,11198,217661,170743,78.40%
19,Kalpetta,GEN,C. K. Saseendran,CPI(M),72959,M. V. Shreyams Kumar,JD(U),59876,13083,190643,149735,78.50%
20,Vadakara,GEN,C. K. Nanu,JD(S),49211,Manayath Chandran,JD(U),39700,9511,158509,129066,81.40%
21,Kuttiady,GEN,Parakkal Abdulla,IUML,71809,K. K. Lathika,CPI(M),70652,1157,184215,157435,85.50%
22,Nadapuram,GEN,E. K. Vijayan,CPI,74742,Praveen Kumar,INC,69983,4759,201357,162483,80.70%
23,Quilandy,GEN,K. Dasan,CPI(M),70593,N. Subramanian,INC,57224,13369,187613,153014,81.60%
24,Perambra,GEN,T. P. Ramakrishnan,CPI(M),72359,Mohammad Ikbal,KC(M),68258,4101,178762,152896,85.50%
25,Balussery (SC),SC,Purushan Kadalundi,CPI(M),82914,U. C. Raman Padanilam,IND,67450,15464,208174,173930,83.60%
26,Elathur,GEN,A. K. Saseendran,NCP,76387,Kishen Chand,JD(U),47330,29057,187392,156020,83.30%
27,Kozhikode North,GEN,A. Pradeep Kumar,CPI(M),64192,P. M. Suresh Babu,INC,36319,27873,169103,131847,78.00%
28,Kozhikode South,GEN,M. K. Muneer,IUML,49863,A. P. Abdul Wahab,INL,43536,6327,148848,114829,77.10%
29,Beypore,GEN,V. K. C. Mammed Koya,CPI(M),69114,Adam Mulsi M.P.,INC,54751,14363,190888,155104,81.30%
30,Kunnamangalam,GEN,P. T. A. Rahim,IND,77410,T. Siddique,INC,66205,11205,209391,179193,85.60%
31,Koduvally,GEN,Karat Razack,IND,61033,M. A. Razack Master,IUML,60460,573,167480,136807,81.70%
32,Thiruvambady,GEN,George M. Thomas,CPI(M),62324,V. M. Ummer Master,IUML,59316,3008,167999,134910,80.30%
33,Kondotty,GEN,T. V. Ibrahim,IUML,69668,K. P. Beerankutty,IND,59014,10654,188114,148973,79.20%
34,Eranad,GEN,P. K. Basheer,IUML,69048,K. T. Abdurahiman,IND,56155,12893,165869,135389,81.60%
