S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner ,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,A. K. M. Ashraf,IUML,65758,K. Surendran,BJP,65013,745,212108,172039,81.10%
2,Kasaragod,GEN,N. A. Nellikkunnu,IUML,63296,K. Shreekanth,BJP,50395,12901,212108,172039,81.10%
3,Udma,GEN,C. H. Kunhambu,CPI(M),78664,Balakrishnan Periye,INC,65342,13322,193015,143861,74.50%
4,Kanhangad,GEN,E. Chandrasekharan,CPI,84615,P. V. Suresh,INC,57476,27139,193015,143861,74.50%
5,Thrikaripur,GEN,M. Rajagopalan,CPI(M),86151,M. P. Joseph,KC,60014,26137,203810,164907,80.90%
6,Payyanur,GEN,TI. Madhusoodanan,CPI(M),93695,M. Pradeep Kumar,INC,43915,49780,203810,164907,80.90%
7,Kalliasseri,GEN,M. Vijin,CPI(M),88252,Brijesh Kumar,INC,43859,44393,209571,166198,79.30%
8,Taliparamba,GEN,M. V. Govindan,CPI(M),92870,Abdul Rasheed V. P.,INC,70181,22689,209571,166198,79.30%
9,Irikkur,GEN,Sajeev Joseph,INC,76764,Saji Kuttiyanimattom,KC(M),66754,10010,194025,159850,82.40%
10,Azhikode,GEN,K. V. Sumesh,CPI(M),65794,K. M. Shaji,IUML,59653,6141,194025,159850,82.40%
11,Kannur,GEN,Kadannappalli Ramachandran,Con(S),60313,Satheeshan Pacheni,INC,58568,1745,176090,149259,84.80%
12,Dharmadam,GEN,Pinarayi Vijayan,CPI(M),95522,C. Raghunath,INC,45399,50123,176090,149259,84.80%
13,Thalassery,GEN,A. N. Shamseer,CPI(M),81810,M. P. Aravindakshan,INC,45009,36801,175316,144919,82.70%
14,Kuthuparamba,GEN,K. P. Mohanan,LJD,70626,P. K. Abdulla,IUML,61085,9541,175316,144919,82.70%
15,Mattannur,GEN,K. K. Shailaja,CPI(M),96129,Illikkal Agasthy,RSP,35166,60963,202287,177323,87.70%
16,Peravoor,GEN,Sunny Joseph,INC,66706,Sakeer Hussain,CPI(M),63534,3172,202287,177323,87.70%
17,Mananthavady (ST),GEN,O. R. Kelu,CPI(M),72536,P. K. Jayalakshmi,INC,63254,9282,188918,152057,80.50%
18,Sulthan Bathery (ST),GEN,I. C. Balakrishnan,INC,81077,M. S. Viswanathan,CPI(M),69255,11822,188918,152057,80.50%
19,Kalpetta,GEN,T. Siddique,INC,70252,M. V. Shreyams Kumar,LJD,64782,5470,172328,144380,83.80%
20,Vadakara,GEN,K. K. Rema,RMPI,65093,Manayath Chandran,LJD,57602,7491,172328,144380,83.80%
21,Kuttiady,GEN,K. P. Kunhammadkutty,CPI(M),80143,Parakkal Abdulla,IUML,79810,333,165259,133585,80.80%
22,Nadapuram,GEN,E. K. Vijayan,CPI,83293,K.Praveen Kumar,INC,79258,4035,165259,133585,80.80%
23,Koyilandy,GEN,Kanathil Jameela,CPI(M),75628,N. Subramanian,INC,67156,8472,184844,159847,86.50%
24,Perambra,GEN,T. P. Ramakrishnan,CPI(M),86023,C. H. Ibrahimkutty,Ind.,63431,22592,184844,159847,86.50%
25,Balussery (SC),GEN,K. M. Sachin Dev,CPI(M),91839,Dharmajan Bolgatty,INC,71467,20372,168406,130676,77.60%
26,Elathur,GEN,A. K. Saseendran,NCP,83639,Sulfikar Mayoori,NCK,45137,38502,168406,130676,77.60%
27,Kozhikode North,GEN,Thottathil Raveendran,CPI(M),59124,K. M. Abhijith,INC,46196,12928,184586,155215,84.10%
28,Kozhikode South,GEN,Ahamed Devarkovil,INL,52557,P. K. Noorbeena Rasheed,IUML,40098,12459,184586,155215,84.10%
29,Beypore,GEN,P. A. Mohammed Riyas,CPI(M),82165,P. M. Niyas,INC,53418,28747,181918,154338,84.80%
30,Kunnamangalam,GEN,P. T. A. Rahim,Ind.,85138,Dinesh Perumanna,Ind.,74862,10276,181918,154338,84.80%
31,Koduvally,GEN,M. K. Muneer,IUML,72336,Karat Razak,Ind.,65992,6344,170991,141734,82.90%
32,Thiruvambady,GEN,Linto Joseph,CPI(M),67867,C. P. Cheriya Muhammed,IUML,63224,5596,170991,141734,82.90%
33,Kondotty,ST,T. V. Ibrahim,IUML,82759,Sulaiman Haji,Ind.,65093,17666,186656,151784,81.30%
34,Eranad,ST,P. K. Basheer,IUML,78076,K. T. Abdurahman,Ind.,55530,22546,186656,151784,81.30%
35,Nilambur,ST,P. V. Anvar,Ind.,81227,V. V. Prakash,INC,78527,2700,213280,166272,78.00%
36,Wandoor (SC),ST,A. P. Anil Kumar,INC,87415,P. Midhuna,CPI(M),71852,15563,213280,166272,78.00%
37,Manjeri,GEN,U. A. Latheef,IUML,78836,P. Dibona Nassar,CPI,64263,14573,195211,151381,77.50%
38,Perinthalmanna,GEN,Najeeb Kanthapuram,IUML,76530,K. P. Mustafa,Ind.,76492,38,195211,151381,77.50%
39,Mankada,GEN,Manjalamkuzhi Ali,IUML,83231,T. K. Rasheed Ali,CPI(M),76985,6246,158921,136320,85.80%
40,Malappuram,GEN,P. Ubaidulla,IUML,93166,P. Abdurahman,CPI(M),57958,35208,158921,136320,85.80%
41,Vengara,GEN,P. K. Kunhalikutty,IUML,70381,P. Jiji,CPI(M),39785,30596,189843,169483,89.30%
42,Vallikkunnu,GEN,P. Abdul Hameed,IUML,71823,A. P. Abdul Wahab,INL,57707,14116,189843,169483,89.30%
43,Tirurangadi,GEN,K. P. A. Majeed,IUML,73499,Niyas Pulikkalakath,Ind.,63921,9578,203567,175187,86.10%
44,Tanur,GEN,V. Abdurahman,NSC,70704,P. K. Firos,IUML,69719,985,203567,175187,86.10%
45,Tirur,GEN,Kurukkoli Moideen,IUML,82314,Ghafoor P. Lillis,CPI(M),75100,7214,194588,161592,83.00%
46,Kottakkal,GEN,K. K. Abid Hussain Thangal,IUML,81700,N. A. Muhammad Kutty,NCP,65112,16588,194588,161592,83.00%
47,Thavanur,GEN,K. T. Jaleel,Ind.,70358,Firoz Kunnumparambil,INC,67794,2564,188997,163279,86.40%
48,Ponnani,GEN,P. Nandakumar,CPI(M),74668,A. M. Rohit,INC,57625,17043,188997,163279,86.40%
49,Thrithala,SC,M. B. Rajesh,CPI(M),69814,V. T. Balram,INC,66798,3016,215827,181523,84.10%
50,Pattambi,SC,Muhammed Muhsin,CPI,75311,Riyas Mukkoli,INC,57337,17974,215827,181523,84.10%
51,Shornur,GEN,P. Mammikutty,CPI(M),74400,T. H. Feroz Babu,INC,37726,36674,194090,163366,84.20%
52,Ottapalam,GEN,K. Premkumar,CPI(M),74859,P. Sarin,INC,59707,15152,194090,163366,84.20%
53,Kongad (SC),GEN,K. Shanthakumari,CPI(M),67881,U. C. Raman,IUML,40662,27219,171960,137046,79.70%
54,Mannarkkad,GEN,N. Shamsudheen,IUML,71657,K. P. Suresh Raj,CPI,65787,5870,171960,137046,79.70%
55,Malampuzha,GEN,A. Prabhakaran,CPI(M),75934,C. Krishnakumar,BJP,50200,25734,149439,118451,79.30%
56,Palakkad,GEN,Shafi Parambil,INC,54079,E. Sreedharan,BJP,50220,3859,149439,118451,79.30%
57,Tarur (SC),GEN,P. P. Sumod,CPI(M),67744,K. A. Sheeba,INC,43213,24531,194583,164589,84.60%
58,Chittur,GEN,K. Krishnankutty,JD(S),84672,Sumesh Achuthan,INC,50794,33878,194583,164589,84.60%
59,Nenmara,GEN,K. Babu,CPI(M),80145,C. N. Vijayakrishnan,CMP,51441,28704,219151,192958,88.00%
60,Alathur,GEN,K. D. Prasenan,CPI(M),74653,Palayam Pradeep,INC,40535,34118,219151,192958,88.00%
61,Chelakkara (SC),GEN,K. Radhakrishnan,CPI(M),83415,C. C. Sreekumar,INC,44015,39400,172959,150885,87.20%
62,Kunnamkulam,GEN,A. C. Moideen,CPI(M),75532,K. Jayasankar,INC,48901,26631,172959,150885,87.20%
63,Guruvayur,GEN,N. K. Akbar,CPI(M),77072,K. N. A. Khader,IUML,58804,18268,170541,142590,83.60%
64,Manalur,GEN,Murali Perunelly,CPI(M),78337,Vijay Hari,INC,48461,29876,170541,142590,83.60%
65,Wadakkanchery,GEN,Xavier Chittilappilly,CPI(M),81026,Anil Akkara,INC,65858,15168,196633,163591,83.20%
66,Ollur,GEN,K. Rajan,CPI,76657,Jose Valloor,INC,55151,21506,196633,163591,83.20%
67,Thrissur,GEN,P. Balachandran,CPI,44263,Padmaja Venugopal,INC,43317,946,171167,142636,83.30%
68,Nattika (SC),GEN,C. C. Mukundan,CPI,72930,Sunil Lalur,INC,44499,28431,171167,142636,83.30%
