S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,GEN,ARINKUPPAM,"PURUSHOTHAMAN, P. C.",INC,3364,37.06,"SUBBARAYAN, P.",DMK,3017,33.24,347,9076,10974,82.70457445
2,SC,BAHOUR,THANGAVEL CLAMANSO,CPI,2727,38.77,P. UTHARAVELU,IND,2211,31.43,516,7034,8424,83.49952517
3,GEN,BUSSY,"PAKKIAM, S.",ADK,1680,38.59,"JAYARAJ, A.",NCO,1441,33.1,239,4354,5905,73.73412362
4,GEN,CASSICADE,"ANSARI DURAISWAMY, P.",NCO,2996,38.91,DURAI MUNISAMI,ADK,2591,33.65,405,7699,10032,76.74441786
5,GEN,COTCHERY,T. SUBBAIYA,ADK,3660,46.04,S. M. JAMBULINGAM,NCO,2446,30.77,1214,7949,9069,87.65023707
6,SC,EMBALOM,G. MURUGESAN,INC,3140,47.13,SIVALOGANATHAN,DMK,1994,29.93,1146,6663,7998,83.30832708
7,GEN,KARAIKAL,K. KANDHI.,ADK,3964,41.24,P. SHANMUGAM,INC,3666,38.14,298,9611,12156,79.06383679
8,GEN,KARAIKAL SOUTH,S. RAMASAMY,ADK,3296,46.8,S. SAVARIRAJAN,NCO,1857,26.37,1439,7043,8524,82.62552792
9,GEN,KURUVINATHAM,VENGATASAMY,ADK,3445,44.5,SUBRAMANIA PADAYATCHI,NCO,2642,34.13,803,7741,8986,86.14511462
10,GEN,LAWSPET,"FAROOK, M. O. H.",DMK,3461,39.21,"VARAZHAU, N.",ADK,3275,37.1,186,8827,10346,85.31799729
11,GEN,MAHE,KUNNUMMAL RAGHAVAN,CPM,1816,33.03,IRAYE KUNNATHITATHIL KUMARAN,IND,1528,27.79,288,5498,6604,83.2525742
12,GEN,MANNADIPATH,D. RAMACHANDIRA REDDIAR,ADK,3467,46,KANNAPPAN,NCO,2132,28.29,1335,7537,8506,88.60804138
13,GEN,MODELIARPETH,SABAPATHY ALIAS KOTHANDARAMAN,NCO,3889,43.06,"ALWAR, R.",CPI,3328,36.85,561,9031,10800,83.62037037
14,GEN,MUTHIALPET,"PAJANIRAJA, G.",ADK,4315,43.87,"THANGAPRAGASAM, M.",NCO,3842,39.06,473,9835,12269,80.16138235
15,SC,NEDUNCADU,R. COUPOUSAMY,INC,2934,41.18,P. SELVARAJ,ADK,2225,31.23,709,7125,8266,86.19646746
16,GEN,NELLITHOPE,"KANNAN, R.",NCO,2495,37.77,"RANGANATHAN, N.",CPI,2369,35.86,126,6606,8444,78.2330649
17,GEN,NERAVY GRAND ALDEE,V. M. C. VARADAPILLAI,ADK,5313,59.89,V. M. C. SIVASHANMUGANATHAN,DMK,2992,33.73,2321,8871,10401,85.28987597
18,GEN,NETTAPAKKAM,V. VENGATASUBBA REDDI,INC,4072,55.65,S. VENGATACHALAPATHI,ADK,2598,35.51,1474,7317,8138,89.91152617
19,GEN,ORHUKARAI,"VENUGOPAL ALIAS MANNATHAN, G.",ADK,2982,39.44,"MUTHU, S.",DMK,2278,30.13,704,7560,8978,84.20583649
20,GEN,ORLEAMPETH,"MANIMARAN, N.",ADK,3833,48.45,"VAIDYANATHAN, R.",INC,2356,29.78,1477,7912,10065,78.60904123
21,SC,OSSUDU,T. EZHUMALAI,ADK,3426,47.83,V. NAGARATHINAM,INC,2461,34.36,965,7163,8688,82.44705341
22,GEN,OUPALAM,"PARTHASARATHY, C. N.",ADK,3198,46.84,"RAGHAVA CHETTIAR,P.",NCO,2112,30.93,1086,6828,8536,79.99062793
23,GEN,PALOOR,VANMERI NATAYI PURUSHOTHAMAN,INC,1980,41.41,MOTTAMAL POCKU,IND,1081,22.61,899,4781,5668,84.350741
24,GEN,RAJ BHAVAN,DHANA KANTHARAJ,INC,2399,56,"JOTHI, K.",ADK,1104,25.77,1295,4284,5925,72.30379747
25,GEN,REDDIAPALAYAM,SUBBIAH V.,CPI,3345,44.09,"BALAJI, V.",NCO,2876,37.91,469,7586,9595,79.06201146
26,GEN,THATTANCHAVADY,"PETHAPERUMAL, V.",NCO,3468,46.85,"GURUSAMY, N.",CPI,2710,36.61,758,7402,9119,81.17118105
27,SC,THIRUBUVANAI,A. GOPAL,INC,2672,34.96,THANGAVELU,ADK,2637,34.5,35,7644,9026,84.68867715
28,GEN,TIRUNALLAR,A. SOUNDARARENGAN,DMK,3742,49.31,S. ARANGASAMY,NCO,2711,35.72,1031,7589,8700,87.22988506
29,GEN,VILLENOUR,M. K. JEEVARATHINA ODAYAR,NCO,2812,37,"THIRUKAMU, K.",ADK,2606,34.28,206,7601,8973,84.70968461
30,GEN,YANAM,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,IND,2284,52.74,NAIDOU MADDIMSETTY SATYAMURTY,INC,1986,45.86,298,4331,4988,86.82838813
