S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,M. Balasubramaniam,AIADMK,9175,52.38%,S. Anandavelu,DMK,8060,46.02%,1115,28191,17955,63.70%
2,Cassicade,GEN,M. Elango,JD,4927,49.97%,P. Shanmugan,INC,4478,45.42%,449,17761,10163,57.20%
3,Raj Bhavan,GEN,A. Gandhiraj,INC,2381,48.45%,S. P. Sivakumar,DMK,2332,47.46%,49,8965,5016,56.00%
4,Bussy,GEN,C. M. Achraff,INC,3083,58.80%,G. Perularaja,DMK,2042,38.95%,1041,9745,5356,55.00%
5,Oupalam,GEN,U. C. Arumugan,AIADMK,7352,57.27%,N. Nathamuthu,DMK,5283,41.15%,2069,20090,13090,65.20%
6,Orleampeth,GEN,K. Parasuraman,AIADMK,8697,59.44%,N. Manimaran,DMK,5613,38.36%,3084,25738,14966,58.10%
7,Nellithope,GEN,R. V. Janakiraman,DMK,7067,49.05%,N. R. Shanmugam,AIADMK,6988,48.50%,79,24848,14679,59.10%
8,Mudaliarpet,GEN,V. Sababady Kothandraman,Independent,8230,45.45%,M. Manjini,CPI,4295,23.72%,3935,27889,18871,67.70%
9,Ariankuppam,GEN,P. Subbarayan,DMK,5794,35.59%,S. Ramsing,PMK,4624,28.40%,1170,24480,16988,69.40%
10,Embalam,SC,K. Pakkiri Ammal,INC,4171,37.57%,R. Rajaraman,JD,2587,23.30%,1584,16310,11906,73.00%
11,Nettapakkam,GEN,V. Vaithilingam,INC,8095,66.14%,R. Subbaraya Gounder,DMK,3782,30.90%,4313,17629,12461,70.70%
12,Kuruvinatham,GEN,T. Thiagarajan,INC,6765,51.72%,N. Vengadasamy,DMK,4014,30.69%,2751,16619,13363,80.40%
13,Bahour,SC,P. Rajavelu,Independent,6377,48.63%,E. Rajalingam,Independent,4454,33.96%,1923,18361,13458,73.30%
14,Thirubuvanai,SC,D. Viswanathan,AIADMK,7453,55.69%,M. Thangavelu,DMK,4939,36.90%,2514,19860,13772,69.30%
15,Mannadipet,GEN,N. Rajaram,INC,7771,52.33%,D. Ramachandran,DMK,6874,46.29%,897,19473,15163,77.90%
16,Ossudu,SC,N. Marimuthu,INC,7293,63.00%,S. Balaraman,JD,4162,35.95%,3131,16480,12077,73.30%
17,Villianur,GEN,P. Anandabaskaran,INC,8190,54.09%,C. Jayakumar,JD,6740,44.51%,1450,20762,15570,75.00%
18,Ozhukarai,GEN,K. Natarajan,AIADMK,8566,56.82%,M. Rasan Alias Vazhumuni,DMK,6279,41.65%,2287,21742,15469,71.10%
19,Thattanchavady,GEN,N. Rangaswamy,INC,12545,69.71%,V. Pethaperumal,JD,5285,29.37%,7260,28392,18371,64.70%
20,Reddiarpalayam,GEN,R. Viswanathan,CPI,13134,64.00%,Indira Munusamy,AIADMK,6517,31.76%,6617,36695,21229,57.90%
21,Lawspet,GEN,P. Kanann,INC,13475,61.51%,P. Sankaran,CPI(M),8088,36.92%,5387,33963,22465,66.10%
22,Cotchery,GEN,R. Nalamaharajan,Independent,5051,37.01%,M. Vaithilingam,INC,4592,33.64%,459,18517,14109,76.20%
23,Karaikal North,GEN,A. M. H. Nazeem,DMK,6809,59.31%,M. Gnanadesigan,AIADMK,4389,38.23%,2420,20588,11807,57.30%
24,Karaikal South,GEN,A. V. Subramanian,INC,6189,61.10%,S. Savarirajan,DMK,3724,36.76%,2465,15770,10360,65.70%
25,Neravy T R Pattinam,GEN,V. M. C. V. Ganapathy,AIADMK,6384,49.67%,V. M. C. Sivakumar,DMK,6145,47.81%,239,17334,13160,75.90%
26,Thirunallar,GEN,A. Soundararengan,DMK,4401,41.37%,R. Kamalakkannan,Independent,2994,28.14%,1407,15222,10974,72.10%
27,Nedungadu,SC,M. Chandirakasu,INC,5955,55.25%,S. A. Marimuthu,DMK,4824,44.75%,1131,14621,11075,75.70%
28,Mahe,GEN,E. Valsaraj,INC,5099,62.62%,K. V. Raghavan,CPI(M),2421,29.73%,2678,11832,8293,70.10%
29,Palloor,GEN,A. V. Sreedharan,INC,4922,59.02%,K. M. Raju Master,JD,2620,31.41%,2302,11974,8431,70.40%
30,Yanam,GEN,Velaga Rajeshwara Rao,INC,6331,56.87%,Raksha Harikrishna,DMK,4704,42.26%,1627,13467,11230,83.40%
