S.no, Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,S. Anandavelu,AIADMK,11009,56.26%,G. Palani Raja,DMK,8098,41.39%,2911,28606,20141,70.40%
2,Cassicade,GEN,P. Kannan,Independent,6501,63.21%,S. Narayanasamy,INC,3195,31.06%,3306,15966,10623,66.50%
3,Raj Bhavan,GEN,S. P. Sivakumar,DMK,2697,58.54%,A. Gandhirasu,INC,1159,25.16%,1538,7157,4721,66.00%
4,Bussy,GEN,C. M. Achraff,INC,2208,46.26%,A. Abdul Rachide,CPI,1378,28.87%,830,8108,4940,60.90%
5,Oupalam,GEN,S. Rathinam @ Manohar,TMC(M),6866,50.79%,U. C. Arumugam,AIADMK,5866,43.39%,1000,19290,14032,72.70%
6,Orleampeth,GEN,R. Siva,DMK,8105,49.16%,K. Parasuraman,AIADMK,5107,30.97%,2998,24977,17129,68.60%
7,Nellithope,GEN,R. V. Janakiraman,DMK,8803,52.31%,D. Ramachandiren,AIADMK,7354,43.70%,1449,24531,17279,70.40%
8,Mudaliarpet,GEN,M. Manjini,CPI,11380,49.69%,V. Sababady Kothandraman,INC,8278,36.15%,3102,32940,23760,72.10%
9,Ariankuppam,GEN,S. Ramsingh,PMK,7382,37.86%,T. Jayamoorthy,DMK,6329,32.46%,1053,25491,20304,79.70%
10,Embalam,SC,R. Rajaraman,JD,8311,62.73%,K. Pakkiriammal,INC,3454,26.07%,4857,17964,14107,78.50%
11,Nettapakkam,GEN,V. Vaithilingam,INC,7563,54.86%,V. Muthunarayana Reddiar,Independent,5036,36.53%,2527,17182,14396,83.80%
12,Kuruvinatham,GEN,T. Thiagarajan,INC,7209,48.85%,R. Ramanathan,MDMK,7022,47.58%,187,17587,15394,87.50%
13,Bahour,SC,M. Kandasamy,TMC(M),7921,51.95%,P. Rajavelu,INC,7221,47.36%,700,18664,15658,83.90%
14,Thirubuvanai,SC,S. Arasi,AIADMK,5707,37.08%,K. Jayaraj,DMK,5586,36.29%,121,20715,16439,79.40%
15,Mannadipet,GEN,K. Rajasegaran,TMC(M),8113,51.63%,N. Rajaram,INC,6866,43.69%,1247,19718,16344,82.90%
16,Ossudu,SC,V. Nagarathinam,TMC(M),7380,53.78%,N. Marimuthu,INC,5232,38.13%,2148,18038,14484,80.30%
17,Villianur,GEN,C. Jayakumar,TMC(M),12205,64.56%,P. Anandabaskaran,INC,6509,34.43%,5696,23166,19403,83.80%
18,Ozhukarai,GEN,K. Natarajan,AIADMK,7794,41.10%,R. R. Somasundaram,DMK,6252,32.97%,1542,26363,20018,75.90%
19,Thattanchavady,GEN,N. Rangaswamy,INC,9989,42.95%,V. Pethaperumal,JD,7699,33.11%,2290,32803,23936,73.00%
20,Reddiarpalayam,GEN,R. Viswanathan,CPI,17206,65.58%,Na. Manimaran,AIADMK,5966,22.74%,11240,43254,27396,63.30%
21,Lawspet,GEN,N. Kesavan,DMK,16442,54.40%,M. O. H. F. Shahjahan,INC,10211,33.78%,6231,43218,31249,72.30%
22,Cotchery,GEN,R. Nalamagarajan,INC,7630,47.53%,G. Panjavarnam,Independent,5968,37.17%,1662,20957,16628,79.30%
23,Karaikal North,GEN,A. M. H. Nazeem,DMK,9474,71.01%,H. M. Abdul Kader,AIADMK,2946,22.08%,6528,20155,13835,68.60%
24,Karaikal South,GEN,A. V. Subramanian,INC,6676,57.48%,S. Savarirajan,DMK,4717,40.61%,1959,15658,11936,76.20%
25,Neravy T R Pattinam,GEN,V. M. C. Sivakumar,DMK,7595,53.44%,S. T. P. Diravidamani,Independent,4385,30.85%,3210,18678,14668,78.50%
26,Thirunallar,GEN,R. Kamalakannan,INC,6063,48.53%,A. Soundarengan,DMK,4938,39.53%,1125,16107,12796,79.40%
27,Nedungadu,SC,A. Marimuthu,DMK,6899,54.93%,M. Chandirakasu,INC,5116,40.74%,1783,15457,12937,83.70%
28,Mahe,GEN,E. Valsaraj,INC,4184,45.58%,Manoli Muhammad,Independent,3915,42.65%,269,12164,9339,76.80%
29,Palloor,GEN,A. V. Sreedharan,INC,4253,45.40%,Panangatil Khader,JD,2929,31.27%,1324,12864,9679,75.20%
30,Yanam,GEN,Malladi Krishna Rao,Independent,8445,62.31%,Velaga Rajeshwara Rao,INC,3602,26.58%,4843,15857,13758,86.80%
