S.no,Constituency ,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Mannadipet,GEN,A. Namassivayam,BJP,14939,51.82,A. Krishnan,DMK,12189,42.28,2750,31509,28397,90.10%
2,Thirubuvanai (SC),GEN,P. Angalane,IND,10597,36.78,B. Kobiga,AINRC,8238,28.6,2359,31509,28397,90.10%
3,Ossudu (SC),SC,A. K. Saravanankumar,BJP,14121,48.78,P. Karthikeyan,INC,12241,42.29,1880,31814,28524,89.70%
4,Mangalam,SC,C. Djeacoumar,AINRC,16972,50.89,Sun. Kumaravel,DMK,14221,42.64,2751,31814,28524,89.70%
5,Villianur,SC,R. Siva,DMK,19653,55.73,S.V. Sugumaran,AINRC,12703,36.02,6950,30571,28538,93.30%
6,Ozhukarai,SC,M. Sivasankar,IND,11940,36.5,N.G. Pannir Selvam,AINRC,11121,34,819,30571,28538,93.30%
7,Kadirkamam,GEN,S. Ramesh,AINRC,17775,65.82,P. Selvanadane,INC,5529,20.47,12246,36977,32986,89.20%
8,Indira Nagar,GEN,A. K. D. Arumugam,AINRC,21841,74.77,M. Kannan,INC,3310,11.33,18531,36977,32986,89.20%
9,Thattanchavady,GEN,N. Rangasamy,AINRC,12978,55.02,K. Sethu Selvam,CPI,7522,31.89,5456,40792,34788,85.30%
10,Kamaraj Nagar,GEN,A. Johnkumar,BJP,16687,56.11,M. O. H. F. Shahjahan,INC,9458,31.8,7229,40792,34788,85.30%
11,Lawspet,GEN,M. Vaithianathan,INC,14592,55.6,V. Saminathan,BJP,8891,33.88,5701,40656,32266,79.40%
12,Kalapet,GEN,P. M. L. Kalyanasundaram,BJP,13277,44.63,A. Senthil Ramesh,IND,9769,32.84,3508,40656,32266,79.40%
13,Muthialpet,GEN,J. Prakash Kumar,IND,8778,37.48,Vaiyapuri Manikandan,AIADMK,7844,33.49,934,33454,26125,78.10%
14,Raj Bhavan,GEN,K. Lakshminarayanan,AINRC,10096,51.86,S.P. Sivakumar,DMK,6364,32.69,3732,33454,26125,78.10%
15,Oupalam,GEN,Annibal Kennedy,DMK,13433,56.64,A. Anbalagan,AIADMK,8653,36.48,4780,34520,28643,83.00%
16,Orleampeth,GEN,G. Nehru Kuppusamy,IND,9580,47.29,S. Gopal,DMK,7487,36.96,2093,34520,28643,83.00%
17,Nellithope,GEN,V. R. Johnkumar,BJP,11757,42.26,V. Karthikeyan,DMK,11261,40.47,496,29760,23148,77.80%
18,Mudaliarpet,GEN,L. Sambath,DMK,15151,51.3,A. Baskar,AIADMK,10972,37.15,4179,29760,23148,77.80%
19,Ariankuppam,GEN,R. Baskar Datchanamourtty,AINRC,17858,54.32,T. Jayamoorthy,INC,11440,34.8,6418,35324,29083,82.30%
20,Manavely,GEN,Embalam R. Selvam,BJP,17225,57.54,R. K. R. Anantharaman,INC,9093,30.37,8132,35324,29083,82.30%
21,Embalam (SC),GEN,U. Lakshmikandhan,AINRC,15624,50.85,M. Candassamy,INC,13384,43.56,2240,31253,25822,82.60%
22,Nettapakkam (SC),GEN,P. Rajavelu,AINRC,15978,56.82,V. Vijayaveny,INC,9340,33.21,6638,31253,25822,82.60%
23,Bahour,GEN,R. Senthilkumar,DMK,11789,44.56,N. Dhanavelou,AINRC,11578,43.76,201,33192,29298,88.30%
24,Nedungadu (SC),GEN,S. Chandra Priyanga,AINRC,10774,40.2,A. Marimuthu,INC,8560,31.94,2214,33192,29298,88.30%
25,Thirunallar,GEN,P. R. Siva,IND,9551,36.45,S. Rajasekaran,BJP,8416,31.32,1380,29809,23159,77.70%
26,Karaikal North,GEN,P. R. N. Thirumurugan,AINRC,12704,44.85,A. V. Subramanian,INC,12569,44.38,135,29809,23159,77.70%
27,Karaikal South,GEN,A. M. H. Nazeem,DMK,17401,71.15,K. A. U. Asana,AIADMK,5367,21.95,12034,26422,19163,72.50%
28,Neravy T R Pattinam,GEN,M. Nagathiyagarajan,DMK,14496,55.74,V. M. C. S. Manokaran,BJP,8985,34.55,5511,26422,19163,72.50%
29,Mahe,GEN,Ramesh Parambath,INC,9744,41.63,N. Haridasan Master,IND,9444,40.35,300,27603,23498,85.10%
30,Yanam,GEN,Gollapalli Srinivas Ashok,IND,17131,49.04,N. Rangasamy,AINRC,16475,47.17,655,27603,23498,85.10%
