S.no,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Tota votes,Total Electors,Poll %
1,SC,ACHARAPAKKAM,V BALASUNDARAM,DMK,39816,66.77,C GANESAN,NCO,13457,22.57,26359,59636,85083,70.09155766
2,GEN,ADUTHURAI,K. RAJAMANICKAM,DMK,40023,51.26,A. MARIMUTHU,NCO,38060,48.74,1963,78083,97689,79.93018661
3,GEN,ALANGUDY,K. V. SUBBIAH,DMK,43279,54.22,TA. S. THANGAVELU,NCO,35397,44.34,7882,79826,95080,83.95666807
4,GEN,ALANGULAM,ARUNACHALAM V.,DMK,36526,51.29,RAMACHANDRAN S. K. T.,NCO,34688,48.71,1838,71214,93471,76.18833649
5,GEN,AMBASAMUDRAM,SANGUMUTHU THEVAR S.,NCO,31192,46.52,ANANTHAKRISHNAN R. V.,DMK,27707,41.32,3485,67047,94781,70.73886116
6,SC,AMBUR,M. PANNEERSELVAM,DMK,32937,55.17,ADIMOOLAM M.,NCO,21449,35.93,11488,59697,96754,61.69977469
7,GEN,ANDHIYUR,E. M. NATARASAN,DMK,32691,56.79,K. S. NANJAPPAN,NCO,24876,43.21,7815,57567,93941,61.27995231
8,GEN,ANDIMADAM,S. SADASIVA PADAYACHI,DMK,39313,53.05,G. THIYAGARAJAN,NCO,34790,46.95,4523,74103,96529,76.76760352
9,GEN,ANDIPATTI,GURUSAMY NAIDU N. V.,SWA,20814,36.37,PARAMASIVAM S.,FBL,16682,29.15,4132,57225,99654,57.42368595
10,GEN,ARANTHANGI,S. RAMANATHAN,DMK,49322,55.81,RAMANATHAN SERVAIKARAR,NCO,37289,42.19,12033,88377,111761,79.07677991
11,GEN,ARAVAKURICHI,ABDUL JABBAR,MUL,34164,60.1,KADASAMY GOUNDER S.,SWA,18859,33.18,15305,56846,100107,56.78523979
12,GEN,ARCOT,N. VEERASAMI,DMK,39126,57.79,N. R. ETHIRAJALU NAIDU,NCO,25061,37.02,14065,67700,88559,76.446211
13,GEN,ARIYAIUR,G. SIVAPERUMAL,DMK,48320,64.18,R. SAMBASIVAM MOOPANAR,NCO,22740,30.2,25580,75287,96537,77.98771456
14,GEN,ARKONAM,BALARAMAN N. S.,DMK,42256,60.11,S. K. SUBRAMANIA MUDALY,NCO,26878,38.24,15378,70294,97843,71.84366792
15,GEN,ARNI,A. C. NARASIMHAN,DMK,37682,60.5,M. DARUMARAJAN,NCO,24599,39.5,13083,62281,85126,73.16331086
16,GEN,ARUPPUKKOTTAI,SOWDI SUNDARA BHARATHI,FBL,37021,56.67,VEERASAMY M.,SWA,27908,42.72,9113,65332,88706,73.65003495
17,GEN,ATHOOR,NACHIAPPAN A. M. T.,DMK,42195,59.7,LAKSHMANAN T. P. S.,NCO,25467,36.03,16728,70675,107556,65.70995574
18,GEN,ATTUR,V. PALANIVEL GOUNDER,DMK,39828,52.79,C. PALANIMUTHU,NCO,35617,47.21,4211,75445,108265,69.68549393
19,GEN,AVANASHI,T. O. PERIASWAMY,IND,29356,49.9,K. THANGAVELLU,DMK,28637,48.68,719,58828,91240,64.47610697
20,GEN,BASIN BRIDGE,M R KANNAN,DMK,48959,56.73,K. RAMADOSS,NCO,33174,38.44,15785,86301,135430,63.7236949
21,GEN,BHAVANI,A. M. RAJA,DMK,38527,59.36,P. KUPPUSAMY MUDALIAR,NCO,25480,39.26,13047,64900,96870,66.9970063
22,SC,BHAVANISAGAR,RAMARASAN V. K.,DMK,28003,51.89,VELUSAMY M.,NCO,20992,38.89,7011,53971,82534,65.39244433
23,GEN,BHUVANAGIRI,M. A. ABUSALI,IND,28615,44.31,R. BALAKRISHNAN,NCO,23291,36.06,5324,64585,97115,66.50362972
24,GEN,BODINAYAKANUR,SURULIVEL M.,DMK,35427,54.43,YELLANNA A.,IND,19050,29.27,16377,65091,101621,64.05270564
25,SC,CHENGAM,C. PANDURANGAM,DMK,32260,61.39,A. AR. MUGAM,NCO,16705,31.79,15555,52551,84601,62.11628704
26,GEN,CHERANMAHADEVI,SIVAPRAKASAM D. S. A.,SWA,34739,50.14,RATNAVELPANDIAN S.,DMK,34546,49.86,193,69285,91676,75.57594136
27,GEN,CHEYYAR,K. GOVINDAN,DMK,39978,55.79,PERUMALSAMY NAYAGAR,NCO,31677,44.21,8301,71655,88183,81.25715841
28,GEN,CHIDAMBARAM,P. PONCHOKKALINGAM,DMK,35750,50.33,R. GOPALKRISHNAN,NCO,34071,47.97,1679,71027,95620,74.28048525
29,GEN,CHINGLEPUT,C G VISHWANATHAN,DMK,41949,62.09,S T NEELAKANTAN,NCO,18290,27.07,23659,67558,98995,68.2438507
30,GEN,COIMBATORE EAST,K. RANGANA THAN,DMK,31003,46.71,A. DEVARAJ,NCO,27491,41.42,3512,66367,109398,60.66564288
31,GEN,COIMBATORE WEST,P. GOPAL,DMK,34736,55.47,S. S. KRISHNASWAMY,SWA,25286,40.38,9450,62621,100262,62.45736171
32,GEN,COLACHEL,PAULIAH A.,NCO,37401,54.98,RETNA RAJ S.,DMK,29852,43.88,7549,68026,97695,69.63099442
33,GEN,COONOOR,J. KARUNAINATHAN,DMK,33451,60.84,N. ANDY,NCO,15325,27.87,18126,54982,83756,65.6454463
34,GEN,CUDDALORE,R. GOVINDARAJ,DMK,35219,52.6,P. R. SEENIVASA PODAYACHI,NCO,30909,46.17,4310,66950,96497,69.38039525
35,GEN,CUMBUM,GOPAL K. P.,NCO,34483,48.87,CHELLATHURAI P.S.,DMK,33806,47.91,677,70562,99318,71.04653738
36,SC,DHARAPURAM,V. P. PALANIAMMAL,DMK,40947,64.41,V. N. GOPAL,NCO,21597,33.97,19350,63575,98869,64.30225854
37,GEN,DHARMAPURI,R. CHINNASAMY,DMK,39861,54.16,D. N. ADIVEL,NCO,27834,37.82,12027,73592,100350,73.33532636
38,GEN,DINDIGUL,SUNDARAM PILLAI O. N.,NCO,27775,39.8,JAMA HUSSAIN,IND,26384,37.81,1391,69778,110295,63.26488055
39,GEN,EDAPPADI,A. ARUMUGAM,DMK,35638,54.72,T. NATARAJAN,NCO,29485,45.28,6153,65123,108906,59.79743999
40,GEN,EGMORE,ARANGANNAL,DMK,40596,53.19,M KOTHANDAPANI,NCO,35733,46.81,4863,76329,116206,65.68421596
41,GEN,ERODE,M. SUBRAMANIAN,DMK,47809,61.16,K. P. MUTHUSAMY,NCO,30358,38.84,17451,78167,115588,67.62553206
42,GEN,GANDARVAKOTTAI,GOVINDARASU KALINGARAR,DMK,42025,57.59,RAMACHANDRA DURAI R.,NCO,28239,38.7,13786,72969,93352,78.16543834
43,SC,GANGAIKONDAN,KARUPPIAH A.,DMK,32963,58.83,KOIL PILLAI S.,NCO,18207,32.49,14756,56032,95985,58.37578788
44,GEN,GINGEE,S. SAGADEVA GOUNDER,DMK,39397,59.67,V. PERUMAL NAINAR,NCO,26625,40.33,12772,66022,97534,67.69126664
45,GEN,GOBICHETTIPALAYAM,S. M. PALANIAPPAN,DMK,35184,59.45,K. M. SUNDARAMURTHY,SWA,20623,34.84,14561,59187,90363,65.49915341
46,SC,GUDALUR,K. H. BOMMAN,SWA,18519,45.45,K. PUTTA,CPI,16578,40.69,1941,40745,81325,50.10144482
47,GEN,GUDIYATTAM,DURAISAMI F. K.,DMK,34954,56.38,ADIMOOLAM D. A.,NCO,18580,29.97,16374,62000,91545,67.72625485
48,GEN,GUMMIDIPUNDI,K A VEZHAVENDAN,DMK,43355,58.41,P OBUL REDDY,NCO,30875,41.59,12480,74230,98918,75.04195394
49,GEN,HARBOUR,A M MOHIDEEN,IND,29225,49.44,UMAPATHY G,NCO,28739,48.62,486,59115,90850,65.06879472
50,SC,HARUR,S. A. CHINNARAJU,DMK,33039,54.26,M. PONNUSAMY,NCO,24159,39.68,8880,60888,88615,68.71071489
51,GEN,HOSUR,B. VENKATASAMY,SWA,28259,63.81,T. VENKATA REDDY,IND,15063,34.01,13196,44287,80662,54.90441596
52,GEN,I,DHARMALINGAM A. PI.,DMK,40593,55.74,SUBRAMANIAN,NCO,31295,42.97,9298,72829,112812,64.55784846
53,GEN,ILAYANGUDI,MALAIKANNAN V.,DMK,45551,61.99,RAMAKRISHNA THEVAR S.,NCO,24138,32.85,21413,73482,108857,67.50323819
54,SC,JAYANKONDAM,A. CHINNASAMY,DMK,41627,57.78,S. RAMASAMY,NCO,29346,40.73,12281,72044,91719,78.54861043
55,SC,KADALADI,RAMALINGAM C.,DMK,31521,64.86,ALANGARAM M.,SWA,13863,28.53,17658,48597,99347,48.91642425
56,GEN,KADAMBATHUR,A PARANDHAMAN,DMK,38569,67.11,ERA KULASEKARAN,NCO,18903,32.89,19666,57472,85210,67.44748269
57,GEN,KADAVUR,KARURAIGIRI MUTHIAH,NCO,31752,51.62,P. KRISHNASAMY,DMK,29763,48.38,1989,61515,93616,65.70992138
58,GEN,KADAYANALLUR,SUBBBIAH MUDALIAR A. R.,DMK,37649,52.49,ABDUL MAJID SAHIB S. M.,NCO,34079,47.51,3570,71728,96720,74.16046319
59,GEN,KALASPAKKAM,S. MURUGAIYAN,DMK,42893,58.88,M. SUNDRASWAMY,NCO,29960,41.12,12933,72853,96470,75.51881414
60,GEN,KALLAKURICHI,D. KESAVALU,DMK,38513,52.84,S. SIVARAMAN,NCO,34374,47.16,4139,72887,97988,74.38359799
61,GEN,KANCHEEPURAM,G. V. M. ANNAMALAI,DMK,44009,52.52,D. V. NATESA MUDALIAR,NCO,37697,44.98,6312,83800,107911,77.65658737
62,SC,KANDAMAGALAM,M. RAMAN,DMK,32293,57.33,P. P. MATHAVAN,NCO,20628,36.62,11665,56329,91603,61.49252754
63,GEN,KANGAYAM,KOVAI CHEZHIYAN,DMK,42461,66.41,K. G. PALANISAMY GOUNDER,IND,20419,31.93,22042,63942,95885,66.68613443
64,GEN,KANIYAMBADI,THOPPUTHIRUVENGADAM,DMK,34435,54.11,L. BALARAMAN,NCO,24647,38.73,9788,63640,86907,73.22770318
65,GEN,KANYAKUMARI,RAJAH PILLAI K.,DMK,35884,51.1,MAHADEVAN PILLAI B.,NCO,31326,44.61,4558,70220,93383,75.19569943
66,GEN,KAPILAMALAI,C. V. VELAPPAN,DMK,43022,55.74,P. THYAGARAJAN,NCO,33045,42.82,9977,77180,110808,69.65201069
67,GEN,KARAIKUDI,C. T. CHIDAMBARAM,DMK,39986,59.82,S. P. R. RAMASWAMY,SWA,26858,40.18,13128,66844,98287,68.00899407
68,GEN,KARIAPATTI,PERUMAL A. R.,FBL,31499,51.33,MUTHUVEL SERVAL M.,NCO,22175,36.14,9324,61360,94337,65.04340821
69,GEN,KARUR,NALLASAMY,DMK,45977,56.55,NALL SWAMYS T. M.,NCO,35320,43.45,10657,81297,106789,76.12862748
