S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,GEN,Royapuram,Ponnurangam,DMK,24217,33.54,M. Raji,AIADMK,22626,31.34,1591,141692,72868,51.40%
2,GEN,Harbour,A. Selvarajan,DMK,23845,36.71,M. M. Peer Mohammad,Independent,17862,27.5,5983,150577,65557,43.50%
3,GEN,Dr. Radhakrishnan Nagar,Isari Velan,AIADMK,28416,35.57,R. D. Seethapathy,DMK,26928,33.71,1488,178751,80748,45.20%
4,GEN,Park Town,T.S. Nallathambi,DMK,22433,32.78,N. G. Bhuvaneshwari,JP,19207,28.07,3226,145578,69199,47.50%
5,SC,Perambur (SC),S. Baalan,DMK,34134,42.74,T. Raja,AIADMK,20666,25.88,13468,184688,80705,43.70%
6,GEN,Purasawalkam,K. Anbazhagan,DMK,41073,45.09,T. S. Govindaswamy,JP,22004,24.16,19069,203098,91943,45.30%
7,SC,Egmore (SC),S.Manimudi,DMK,26746,38.6,K. Deivasigamoni,AIADMK,19414,28.02,7332,141812,69887,49.30%
8,GEN,Anna Nagar,M. Karunanidhi,DMK,43076,50.1,G. Krishnamurthy,AIADMK,26638,30.98,16438,178266,86717,48.60%
9,GEN,T. Nagar,R. E. Chandran Jayapal,DMK,23346,30.91,K. Krishnamoorthy,AIADMK,22316,29.55,1030,180871,76185,42.10%
10,GEN,Thousand lights,S.J. Sadiq Pasha,DMK,26599,37.13,Syed Khaleefa Thullah,Independent,21741,30.35,4858,167463,72284,43.20%
11,GEN,Chepauk,A. Rahman Khan,DMK,24425,38.4,V. Rajkumar,AIADMK,17796,27.98,6629,123253,64140,52.00%
12,GEN,Triplicane,M. Aranganathan,DMK,23154,35.16,Noorjahan Razack,AIADMK,21027,31.93,2127,132743,66440,50.10%
13,GEN,Mylapore,T. K. Kapali,DMK,26044,33.75,Lakshmi Krishnamurthi,JP,21138,27.39,4906,152323,77911,51.10%
14,GEN,Saidapet,D. Purushothaman,DMK,27160,36.7,N. Kannan,AIADMK,21882,29.56,5278,148319,74578,50.30%
15,GEN,Gummidipoondi,S. Munirathinam,AIADMK,32309,42.26,G. Kamalambujammal,JP,21042,27.52,11267,121875,77810,63.80%
16,SC,Ponneri (SC),S. M. Dorairaj,AIADMK,31796,42.64,G. Vetriveeran,DMK,20524,27.53,11272,134125,75794,56.50%
17,GEN,Thiruvottiyur,P. Sigamony,AIADMK,26458,31.29,M. V. Narayanaswamy,DMK,23995,28.37,2463,148299,85676,57.80%
18,GEN,Villivakkam,K. Suppu,DMK,37327,41.07,R. Sarweshwar Rao,AIADMK,29429,32.38,7898,165872,92190,55.60%
19,GEN,Alandur,K. M. Abdul Razack,AIADMK,30961,37.45,M. Abiraham,DMK,27112,32.8,3849,154152,83605,54.20%
20,GEN,Tambaram,Munu Adhi,AIADMK,32394,35.22,Pammal Nallathambi,DMK,31968,34.75,426,157010,93097,59.30%
21,SC,Thiruporur (SC),G. Chokkalingam,DMK,24932,44.78,T. Radha,AIADMK,22831,41,2101,97060,56642,58.40%
22,GEN,Chengalpattu,Anoor Jagadeesan,AIADMK,29306,43.5,V. Rudrakotti,DMK,25436,37.75,3870,110575,68431,61.90%
23,GEN,Maduranthakam,C. Arumugam,DMK,26977,36.08,S. D. Ugamchand,INC,19645,26.27,7332,104339,75967,72.80%
24,SC,Acharapakkam (SC),Ethraj,AIADMK,26756,43.19,N. Muthuvel,DMK,23959,38.67,2797,98677,63099,63.90%
