S.no,Type,Constituency,Winner,Winner Party,Winner Vote,Winner %,Runner ,Runner Party,Runner Votes,Runner %,Margi,Total Electors,Total Votes,Poll%
1,GEN,Royapuram,P. Punnurangam,DMK,40727,50.26,K. Rajan,GKC,39432,48.66,1295,118621,82256,69.30%
2,GEN,Harbour,A. Selvarasan,DMK,38953,55.3,K. Liakath Ali Khan,AIADMK,30649,43.51,8304,118648,71718,60.40%
3,GEN,Dr. Radhakrishnan Nagar,Venugopal S.,INC,54334,50.71,S. P. Sarguna Pandian,DMK,50483,47.12,3851,162902,109161,67.00%
4,GEN,Park Town,K. Anbazhagan,DMK,37540,50.89,Jothi. M.,Independent,34613,46.92,2927,119597,76286,63.80%
5,SC,Perambur,Parithi Ilamvazhuthi,DMK,53325,53.04,Sathyavani Muthu,AIADMK,46121,45.87,7204,165376,103766,62.70%
6,GEN,Purasawalkam,Nanjil K. Manoharan,DMK,61246,51.14,Suppu. K.,AIADMK,56736,47.37,4510,185024,123061,66.50%
7,SC,Egmore,S. Balan,DMK,29795,51.84,Sri Ramulu K. R.,INC,27246,47.41,2549,115430,57878,50.10%
8,GEN,Anna Nagar,S. M. Ramachandran,DMK,63854,52.59,Kothandaraman V.,AIADMK,56128,46.22,7726,196896,123640,62.80%
9,GEN,Thiyagaraya Nagar,K. Sourirajan,INC,49038,49.26,G. Kalivaradan,JP,40154,40.34,8884,160537,101830,63.40%
10,GEN,Thousand Lights,K. A. Krishnaswamy,AIADMK,46246,50.36,M. K. Stalin,DMK,43954,47.86,2292,145099,94257,65.00%
11,GEN,Chepauk,A. Rahman Khan,DMK,36234,56.26,Sri Ramulu K. R.,INC,27246,47.41,8988,100943,65965,65.30%
12,GEN,Triplicane,Abdul Samad,DMK,36410,50.52,K. S. G. Haja Shareef,INC,30302,42.05,6108,119445,74695,62.50%
13,GEN,Mylapore,B. Valarmathi,AIADMK,51870,51.68,Bharathi. R. S.,DMK,46396,46.22,5474,156793,103417,66.00%
14,GEN,Saidapet,Saidai Duraisamy,AIADMK,52869,49.35,Purushothaman. D.,DMK,52679,49.17,190,166613,110570,66.40%
15,GEN,Gummidipoondi,R. S. Munirathinam,AIADMK,55221,55.56,K. Vezhavendan,DMK,43174,43.44,12047,134311,105425,78.50%
16,SC,Ponneri,K. P. K. Sekar Alias K. P. Kulasekaran,AIADMK,61559,59.05,K. Sundaram,DMK,41655,39.96,19904,143104,109341,76.40%
17,GEN,Thiruvottiyur,G. K. J. Baarathi,INC,65194,54.26,T. K. Palaniswamy,DMK,53684,44.68,11510,167640,121889,72.70%
18,GEN,Villivakkam,V. P. Chintan,CPI(M),81595,48.21,J. C. D. Prabhakar,AIADMK,80549,47.59,1046,257909,172650,66.90%
19,GEN,Alandur,M. Abraham,DMK,61300,49.14,Mohanarangam. R.,AIADMK,60394,48.41,906,192759,128927,66.90%
20,GEN,Tambaram,Ella Rajamanickam,AIADMK,75155,51.75,M. A. Vaithyalingam,DMK,68009,46.83,7146,222649,151401,68.00%
21,SC,Thiruporur,Thamizhmani,AIADMK,38075,47.28,Chokkalingam. G.,DMK,31641,39.29,6434,113888,85509,75.10%
22,GEN,Chengalpattu,P. G. Anoor Jegadeesan,AIADMK,45423,50.14,Rudrakotti. V.,DMK,44203,48.8,1220,120202,92799,77.20%
23,GEN,Maduranthakam,C. Arumugam,DMK,40105,46.21,Sachuthanandam,INC,37745,43.49,2360,120021,91796,76.50%
24,SC,Acharapakkam,K. Ethirajan,AIADMK,43323,54.66,E. Ramakrishnan,DMK,34744,43.83,8579,109675,82494,75.20%
25,GEN,Uthiramerur,Narasimma Pallavan. K.,AIADMK,57797,57.21,Ponmozhi. C. V. M. A.,DMK,40007,39.6,17790,134151,104383,77.80%
26,GEN,Kancheepuram,K. Balaji,AIADMK,60363,55.31,Palani Raja Kumar. C. M.,DMK,47362,43.4,13001,139497,111866,80.20%
27,SC,Sriperumbudur,D. Yasodha,INC,46421,53.94,Panchatcharam. K. M.,DMK,34601,40.21,11820,120459,90419,75.10%
28,GEN,Poonamallee,G. Ananthakrishna,INC,55129,55.97,D. Rajarathinam,DMK,40562,41.18,14567,151761,101638,67.00%
29,GEN,Thiruvallur,S. Pattabiraman,AIADMK,44461,51.73,S. R. Munirathinam,DMK,39908,46.43,4553,119300,91815,77.00%
30,GEN,Tiruttani,R. Shanmugam,AIADMK,41669,50.48,Chiranjeevulu Naidu. C.,JP,37740,45.72,3929,118704,89074,75.00%
31,GEN,Pallipet,Narasimhan. P. N.,AIADMK,34935,39.96,Bakambaram. A.,Independent,28724,32.85,6211,120983,92660,76.60%
32,SC,Arakkonam,V. K. Raju,DMK,52657,52.24,M. Vijayasarathy,AIADMK,46344,45.98,6313,134680,105130,78.10%
33,GEN,Sholingur,N. Shanmugam,AIADMK,47967,51.38,K. Moorthi,DMK,43918,47.05,4049,124595,97965,78.60%
34,GEN,Ranipet,M. Kadirvelu,INC,56068,55.6,Abdul Jabbar V. M.,DMK,33337,33.06,22731,138811,105925,76.30%
35,GEN,Arcot,T. Palani,AIADMK,52222,58.96,Arcot N. Veerasamy,DMK,34509,38.96,17713,116813,93347,79.90%
36,GEN,Katpadi,G. Raghupathi,AIADMK,53077,57.08,Durai Murugan,DMK,36839,39.62,16238,127249,96365,75.70%
