S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,SC,ACHARAPAKKAM,SANKARA VALLI @ SANKARI NARAYANAN,DMK,55116,50.56,SARASWATHI M,ADMK,39260,36.02,15856,109003,146977,74.16330446
2,GEN,ALANDUR,ANBARASAN T. M,DMK,133232,46.85,VALARMATHI B,ADMK,115322,40.55,17910,284403,431953,65.84119106
3,GEN,ALANGUDI,RAJASEKARAN S,CPI,60122,39.3,VENKATACHALAM A,ADMK,50971,33.32,9151,152986,197741,77.36685867
4,GEN,ALANGULAM,POONGOTHAI ALADIARUNA,DMK,62299,46.05,PANDIARAJ.M,ADMK,55454,40.99,6845,135294,183349,73.79042155
5,GEN,AMBASAMUDRAM,AVUDAIYAPPAN . R.,DMK,49345,45.66,MURUGAIAH PANDIAN. R.,ADMK,33614,31.11,15731,108059,162742,66.39896278
6,GEN,ANAICUT,PANDURANGAN. K,ADMK,59220,45.02,VARALAKSHMI. M,PMK,59167,44.97,53,131556,190228,69.15701159
7,SC,ANDHIYUR,GURUSAMY.S,DMK,57043,51.3,SUBRAMANIAM.M,ADMK,37300,33.54,19743,111198,159908,69.53873477
8,GEN,ANDIMADAM,SIVASANKAR.S.S,DMK,51395,45.3,PANNERSELVAM.K,ADMK,45567,40.16,5828,113460,144606,78.46147463
9,GEN,ANDIPATTI,JAYALALITHAA J,ADMK,73927,55.04,SEEMAN,DMK,48741,36.29,25186,134304,183610,73.14634279
10,GEN,ANNA NAGAR,ARCOT VEERASAMY,DMK,100099,46.2,VIJAYA THAYANBAN,MDMK,87709,40.48,12390,216659,352829,61.40623361
11,GEN,ARANTANGI,UDAYAM SHANMUGAM,DMK,63333,43.86,KARTHIKEYAN Y,ADMK,45873,31.77,17460,144402,205474,70.2775047
12,GEN,ARAVAKURICHI,KHALEELUR RAHMAN.M.A.,DMK,45960,45.6,MONJANUR RAMASAMY.P.,MDMK,43135,42.8,2825,100783,134828,74.74931023
13,GEN,ARCOT,ELAVAZHAGAN.K.L,PMK,60286,48.73,CHANDRAN.V.R,ADMK,48969,39.58,11317,123707,160759,76.95183473
14,GEN,ARIYALUR,AMARAMOORTHY.D,INC,60089,45.36,RAVICHANDRAN.M,ADMK,55895,42.2,4194,132460,163907,80.8141202
15,SC,ARKONAM,JAGANMOORTHY.M,DMK,66338,47.17,RAVI.S,ADMK,58782,41.79,7556,140646,190314,73.90207762
16,GEN,ARNI,SIVANANDAM. R,DMK,69722,49.4,SANTHANAM. A,ADMK,57420,40.68,12302,141134,184336,76.56344935
17,GEN,ARUPPUKOTTAI,THANGAM THENNARASU,DMK,52002,44.88,MURUGAN.K,ADMK,43768,37.77,8234,115875,161711,71.65560784
18,GEN,ATHOOR,PERIASAMY.I,DMK,76308,53.2,SREENIVASAN.C,ADMK,49747,34.68,26561,143432,202430,70.85511041
19,GEN,ATTUR,SUNDARAM M R,INC,53617,45.3,MURUGESAN A K,ADMK,43185,36.48,10432,118370,160786,73.61959375
20,SC,AVANASHI,PREMA.R.,ADMK,54562,40.57,ARUMUGAM.M.,CPI,50023,37.2,4539,134476,190450,70.60960882
21,GEN,BARGUR,THAMBIDURAI M,ADMK,61299,42.67,VETRISELVAN V,DMK,58091,40.44,3208,143663,197892,72.59666889
22,GEN,BHAVANI,K V RAMANATHAN,PMK,52603,41.55,KARUPPANAN.K.C,ADMK,47500,37.52,5103,126612,169720,74.6005185
23,GEN,BHAVANISAGAR,SUBRAMANIAM.O,DMK,65055,50.79,SINDU RAVICHANDARAN,ADMK,45039,35.16,20016,128086,170773,75.00365983
24,GEN,BHUVANAGIRI,SELVI RAMAJAYAM,ADMK,65505,51.24,DEVADASS.K.,PMK,50682,39.65,14823,127834,167859,76.15558296
25,GEN,BODINAYAKKANUR,LAKSHMANAN S,DMK,51474,43.86,PARTHIPAN R,ADMK,50576,43.1,898,117347,165068,71.0900962
26,GEN,CHENGALPATTU,ARUMUGAM K,PMK,61664,48.37,ARUMUGAM S,ADMK,51451,40.36,10213,127475,178466,71.42817119
27,SC,CHENGAM,POLUR VARADHAN M,INC,53366,42.75,SAKTHIVEL P,VCK,43166,34.58,10200,124842,175158,71.27393553
28,GEN,CHEPAUK,KARUNANIDHI M.,DMK,34188,50.96,DAWOON MIAKHAN,IND,25662,38.25,8526,67082,105252,63.73465587
29,GEN,CHERANMAHADEVI,VELDURAI.P.,INC,48527,43.72,PAUL MANOJ PANDIAN. P.H.,ADMK,42495,38.29,6032,110996,158911,69.84790228
30,GEN,CHEYYAR,VISHNUPRASAD M K,INC,60109,44.36,PAVAI R,ADMK,55319,40.82,4790,135508,169494,79.94855275
31,GEN,CHIDAMBARAM,ARUNMOZHIDEVAN.A.,ADMK,56327,50.71,BALAKRISHNAN.K.,CPM,39517,35.58,16810,111066,147220,75.44219535
32,GEN,CHINNASALEM,UDHAYASOORIYAN. T,DMK,64036,48.4,MOHAN. P,ADMK,43758,33.08,20278,132298,179669,73.63429417
33,GEN,COIMBATORE EAST,PONGALUR PALANISAMY.N.,DMK,51827,47.5,GOPALAKRISHNAN.V.,ADMK,45491,41.7,6336,109103,157364,69.33161333
34,GEN,COIMBATORE WEST,MALARAVAN.T.,ADMK,49957,49.63,MAHESWARI.A.S.,INC,35676,35.44,14281,100669,140374,71.71484748
35,GEN,COLACHEL,JEYAPAUL.S,INC,50641,46.99,GANDHI.M.R,BJP,29321,27.21,21320,107772,174762,61.6678683
36,SC,COONOOR,SOUNDARAPANDIAN A,DMK,45303,47.36,SELVARAJ M,ADMK,39589,41.38,5714,95666,147524,64.84775359
37,GEN,CUDDALORE,IYAPPAN.G.,DMK,67003,47.76,KUMAR.G.,ADMK,60737,43.3,6266,140286,196095,71.53981489
38,GEN,CUMBUM,ERAMAKRISHNAN N,MDMK,50761,43.24,SELVENDRAN P,DMK,48803,41.57,1958,117390,165427,70.96181397
39,SC,DHARAPURAM,PRABAVATHI.P,DMK,55312,44.65,RANGANAYAHI.M.,ADMK,50600,40.85,4712,123871,173547,71.37605375
40,GEN,DHARMAPURI,VELUSAMY. L,PMK,76195,51.58,SAMPATH V.S,MDMK,45988,31.13,30207,147708,215291,68.6085345
41,GEN,DINDIGUL,BALABARATHI.K,CPM,66811,43.74,SELVARAGAVAN.N.,MDMK,47862,31.33,18949,152748,218221,69.99692972
42,GEN,DR. RADHAKRISHNAN NAGAR,SEKAR BABU P.K.,ADMK,84462,50.36,MANOHAR R.,INC,66399,39.59,18063,167730,239326,70.08432013
43,GEN,EDAPADI,KAVERI V,PMK,76027,44.76,PALANISWAMI K,ADMK,69680,41.02,6347,169848,222666,76.2792703
44,SC,EGMORE,PARITHI ELLAMVAZHUTHI,DMK,38455,48.48,SATHYA C.E.,MDMK,31975,40.31,6480,79326,122297,64.8634063
45,GEN,ERODE,RAAJA.NKK.P,DMK,94938,44.17,SIVAKUMAR.E.R,ADMK,84107,39.13,10831,214918,303864,70.72835216
