S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner Vote %,Runner Candidate,Runner Party,Runner Votes,Runner  Votes %,Margin,Total Electors,Total Votes,Poll%
1,GEN,Gummidipoondi,C. H. Sekar,DMDK,97708,54.4,Sekar K N,PMK,68452,38.11,29256,215430,178276,82.80%
2,SC,Ponneri,Pon. Raja,AIADMK,93624,57.5,Manimekalai. A.,DMK,62354,38.29,31270,202421,163088,80.60%
3,GEN,Tiruttani,M. Arun Subramanian,DMDK,95918,50.16,Raman. E. S. S.,INC,71988,37.64,23930,236718,191237,80.80%
4,GEN,Thiruvallur,B. V. Ramanaa,AIADMK,91337,53.69,Shiaji E. A. P,DMK,67689,39.79,23648,207922,170115,81.80%
5,SC,Poonamallee,R. Manimaran,AIADMK,99097,54.59,Kanchi Gv Mathiazhagan,INC,57678,31.77,41419,229436,181531,79.10%
6,GEN,Avadi,S. Abdul Rahim,AIADMK,110102,55.18,Dhamotharan. R,INC,66864,33.51,43238,277856,199538,71.80%
7,GEN,Maduravoyal,G. Beem Rao,CPI(M),96844,52.09,Selvam K,PMK,72833,39.17,24011,269487,185925,69.00%
8,GEN,Ambattur,S. Vedachalam,AIADMK,99330,53.3,Ranaganathan. B,DMK,76613,41.11,22717,264960,186347,70.30%
9,GEN,Madavaram,V. Moorthy,AIADMK,115468,55.69,Kanimozhi N S,DMK,80703,38.93,34765,275590,207325,75.20%
10,GEN,Thiruvottiyur,K. Kuppan,AIADMK,93944,57.03,Samy. K. P. P.,DMK,66653,40.47,27291,221456,164716,74.40%
11,GEN,Dr. Radhakrishnan Nagar,P. Vetrivel,AIADMK,83777,59.04,P. K. Sekar Babu,DMK,52522,37.01,31255,195146,141942,72.70%
12,GEN,Perambur,A. Soundararajan,CPI(M),84668,52.26,N. R. Dhanapalan,DMK,67245,41.5,17423,232333,162026,69.70%
13,GEN,Kolathur,M. K. Stalin,DMK,68677,48.35,Sadai. Sa. Duraisamy,AIADMK,65943,46.43,2734,207990,141989,68.30%
14,GEN,Villivakkam,J. C. D. Prabhakar,AIADMK,68612,52.44,K. Anbazhagan,DMK,57830,44.2,10782,193208,130828,67.70%
15,SC,Thiru. Vi. Ka. Nagar,V. Neelakandan,AIADMK,72887,58.87,Dr. C. Natesan,INC,43546,35.17,29341,181235,123807,68.30%
16,SC,Egmore,K. Nalla Thambi,DMDK,51772,46.23,Parithi Ellamvzuthi,DMK,51570,46.05,202,164759,111996,68.00%
17,GEN,Royapuram,D. Jayakumar,AIADMK,65099,57.89,Manohar. R,INC,43727,38.88,21372,159335,112461,70.60%
