S.NO,Type,Constituency,Winner,Winner Party,Winner Votes,Votes %,Runner,Runner Up Party,Runner Votes,Runner Votes %,Margin,Total Electors,Total Votes,Poll%
1,GEN,Gummidipoondi,K. S. Vijayakumar,ADMK,89332,41.68,C. H. Sekar,DMK,65937,30.76,23395,259194,212864,82.10%
2,SC,Ponneri,P. Balaraman,ADMK,95979,48.56,Dr. Parimalam. K,DMK,76643,38.78,19336,247430,195364,79.00%
3,GEN,Tiruttani,P. M. Narasimhan,ADMK,93045,41.84,Chidambaram. A. G,INC,69904,31.43,23141,273887,220333,80.40%
4,GEN,Thiruvallur,V. G. Raajendran,DMK,80473,39.02,Baskaran. A,ADMK,75335,36.53,5138,254359,204826,80.50%
5,SC,Poonamallee,T. A. Elumalai,ADMK,103952,43.32,Paranthamen. I,DMK,92189,38.41,11763,309083,236722,76.60%
6,GEN,Avadi,K. Pandiarajan,ADMK,108064,39.92,S. M. Nasar,DMK,106669,39.4,1395,387261,265738,68.60%
7,GEN,Maduravoyal,P. Benjamin,ADMK,99739,40.12,Rajesh R,INC,91337,36.74,8402,391693,241942,61.80%
8,GEN,Ambattur,V. Alexander,ADMK,94375,41.1,Aassan Maulaana,INC,76877,33.48,17498,353518,224029,63.40%
9,GEN,Madavaram,S. Sudharsanam,DMK,122082,45.43,Dhakshnamoorthy D,ADMK,106829,39.76,15253,397265,264427,66.60%
10,GEN,Thiruvottiyur,K. P. P. Samy,DMK,82205,43.25,Balraj. B,ADMK,77342,40.69,4863,286872,187144,65.20%
11,GEN,Dr. Radhakrishnan Nagar,J. Jayalalithaa,ADMK,97218,55.87,Shimla Muthuchozhan,DMK,57673,33.14,39545,255198,171142,67.10%
12,GEN,Perambur,P. Vetrivel,ADMK,79974,42.39,N. R. Dhanapalan,DMK,79455,42.11,519,288901,185514,64.20%
13,GEN,Kolathur,M. K. Stalin,DMK,91303,54.25,Prabhakar. J. C. D,ADMK,53573,31.83,37730,261913,164754,62.90%
14,GEN,Villivakkam,B. Ranganathan,DMK,65972,43.96,Thadi M.Raju,ADMK,56651,37.75,9321,252292,146675,58.10%
15,SC,Thiru-Vi-Ka-Nagar,P. Sivakumar @ Thayagamkavi,DMK,61744,45.25,Neelakandan. V,ADMK,58422,42.82,3322,215120,133765,62.20%
16,SC,Egmore,K. S. Ravichandran,DMK,55060,45.64,Parithi Ellamvazhuthi E,ADMK,44381,36.79,10679,190949,117795,61.70%
17,GEN,Royapuram,D. Jayakumar,ADMK,55205,45.21,Manohar R,INC,47174,38.63,8031,186386,119769,64.30%
18,GEN,Harbour,P. K. Sekar Babu,DMK,42071,40.36,Sreenivasan K S,ADMK,37235,35.72,4836,182820,102137,55.90%
19,GEN,Chepauk-Thiruvallikeni,J. Anbazhagan,DMK,67982,47.32,A. Noorjahan,ADMK,53818,37.46,14164,225920,140171,62.00%
20,GEN,Thousand Lights,K. K. Selvam,DMK,61726,43.35,Valarmathi B,ADMK,52897,37.15,8829,243386,138770,57.00%
21,GEN,Anna Nagar,M. K. Mohan,DMK,70812,41.59,S. Gokula Indira,ADMK,69726,40.95,1086,285165,168933,59.20%
22,GEN,Virugampakkam,V.N.Virugai Ravi,ADMK,65979,38.51,K Thanasekaran,DMK,63646,37.15,2333,286046,167442,58.50%
23,GEN,Saidapet,M. Subramaniam,DMK,79279,47.18,Ponnayan.C,ADMK,63024,37.51,16255,279207,164477,58.90%
24,GEN,Thiyagarayanagar,B. Sathyanarayanan,ADMK,53207,37.47,Dr. N. S. Kanimozhi,DMK,50052,35.25,3155,240352,138412,57.60%
25,GEN,Mylapore,R Nataraj IPS (Rtd),ADMK,68176,43.67,Karate Thiagarajan.R,INC,53448,34.23,14728,257032,152344,59.30%
26,GEN,Velachery,Vagai Chanderasekar,DMK,70139,39.96,C Munusamy,ADMK,61267,34.91,8872,296329,171297,57.80%
27,GEN,Shozhinganallur,S. Aravind Ramesh,DMK,147014,42.53,Sundaram N,ADMK,132101,38.21,14913,575773,338365,58.80%
28,GEN,Alandur,Anbarasan. T.M.,DMK,96877,44.64,Panruti S. Ramachandran,ADMK,77708,35.81,19169,341623,212270,62.10%
29,SC,Sriperumbudur,Palani. K,ADMK,101001,42.77,K. Selvaperunthagai,INC,90285,38.23,10716,300120,233186,77.70%
30,GEN,Pallavaram,Karunanithi. I,DMK,112891,44.94,C. R. Saraswathi,ADMK,90726,36.12,22165,403787,245381,60.80%
31,GEN,Tambaram,S. R. Raja,DMK,101835,43.27,Rajendran C,ADMK,87390,37.13,14445,372883,230348,61.80%
32,GEN,Chengalpattu,M. Varalakshmi,DMK,112675,45.11,Kamalakkannan.R,ADMK,86383,34.58,26292,366345,246190,67.20%
33,GEN,Thiruporur,Kothandapani. M,ADMK,70215,34.91,Viswanathan. V,DMK,69265,34.44,950,250050,199025,79.60%
34,SC,Cheyyur,Arasu R T,DMK,63446,37.51,Munusamy A,ADMK,63142,37.33,304,211135,167307,79.20%
35,SC,Madurantakam,S.Pugazhenthi,DMK,73693,41.43,C.K.Thamizharasan,ADMK,70736,39.77,2957,219928,176354,80.20%
36,GEN,Uthiramerur,K. Sundar,DMK,85513,43.02,Ganesan.P,ADMK,73357,36.9,12156,242572,197126,81.30%
37,GEN,Kancheepuram,C. V. M. P. Ezhilarasan,DMK,90533,40.4,T.Mythili,ADMK,82985,37.03,7548,296751,220467,74.30%
38,SC,Arakkonam,S. Ravi,ADMK,68176,41.21,Rajkumar N,DMK,64015,38.69,4161,217390,163392,75.20%
39,GEN,Sholingur,N. G. Parthiban,ADMK,77651,36.79,A. M. Munirathinam,INC,67919,32.18,9732,254525,209373,82.30%
40,GEN,Katpadi,Durai Murugan,DMK,90534,50.9,Appu S.R.K,ADMK,66588,37.44,23946,227250,175378,77.20%
41,GEN,Ranipet,Gandhi. R,DMK,81724,42.85,Elumalai. C,ADMK,73828,38.71,7896,246310,188621,76.60%
42,GEN,Arcot,Eswarappan J L,DMK,84182,41.39,Ramadoss.K.V,ADMK,73091,35.94,11091,244127,201388,82.50%
43,GEN,Vellore,Karthikeyan,DMK,88264,51.53,Harun Rasheed,ADMK,62054,36.23,26210,247628,168879,68.20%
44,GEN,Anaikattu,Nandakumar. A.P,DMK,77058,42.43,Kalaiarasu. M,ADMK,68290,37.6,8768,228249,180385,79.00%
45,SC,Kilvaithinankuppam,Loganathan.G,ADMK,75612,45.76,Amalu V,DMK,65866,39.86,9746,204298,163236,79.90%
46,SC,Gudiyattam,Jayanthi Padmanabhan .C,ADMK,94689,48.56,Rajamarthandan. K.,DMK,83219,42.68,11470,260612,192747,74.00%
47,GEN,Vaniyambadi,Nilofer,ADMK,69588,40.31,Syed Farooq,IUML,55062,31.89,14526,223883,170864,76.30%
48,GEN,Ambur,Balasubramani R.,ADMK,79182,49.16,Nazeer Ahmed.V.R.,MMK,51176,31.77,28006,210433,159443,75.80%
49,GEN,Jolarpet,Veeramani. K. C,ADMK,82525,45.57,Kavitha.C,DMK,71534,39.5,10991,222146,179601,80.80%
50,GEN,Tirupattur (Vellore),Nallathambi. A,DMK,80791,45.43,Kumar.T.T,ADMK,73144,41.13,7647,226179,176650,78.10%
51,SC,Uthangarai,N.Manoranjitham,ADMK,69980,38.75,S.Malathy,DMK,67367,37.3,2613,217792,178899,82.10%
52,GEN,Bargur,V.Rajendran,ADMK,80650,42.89,Govinddarasan.E.C,DMK,79668,42.36,982,226603,186674,82.40%
53,GEN,Krishnagiri,T.Senguttuvan,DMK,87637,43.8,V.Govindaraj,ADMK,82746,41.35,4891,244487,198237,81.10%
54,GEN,Veppanahalli,Murugan P,DMK,88952,46.01,Madhu A.V.M @ Hemnath M,ADMK,83724,43.31,5228,226937,191843,84.50%
55,GEN,Hosur,Balakrishna Reddy P,ADMK,89510,41.59,Gopinath K,INC,66546,30.92,22964,296779,211786,71.40%
56,GEN,Thalli,Prakaash.Y.,DMK,74429,39.31,Ramachandran.T.,CPI,68184,36.01,6245,228512,186900,81.80%
57,GEN,Palacode,K. P. Anbalagan,ADMK,76143,40.34,Murugan. P.K.,DMK,70160,37.17,5983,211355,186887,88.40%
58,GEN,Pennagaram,Inbasekaran. P.N.P.,DMK,76848,38.49,Anbumani Ramadoss,PMK,58402,29.25,18446,226254,197554,87.30%
59,GEN,Dharmapuri,Subramani. P.,DMK,71056,34.25,Elangovan. P.D.,ADMK,61380,29.58,9676,250333,205225,82.00%
60,GEN,Pappireddippatti,Palaniyappan. P,ADMK,74234,35.56,Sathiyamoorthy. A,PMK,61521,29.47,12713,243140,207287,85.30%
61,SC,Harur,R.Murugan,ADMK,64568,33.96,S.Rajendran,DMK,53147,27.95,11421,225231,188042,83.50%
62,SC,Chengam,Giri .M.P,DMK,95939,45.6,Dinagaran. M,ADMK,83248,39.57,12691,248143,209000,84.20%
63,GEN,Tiruvannamalai,E. V. Velu,DMK,116484,57.15,Rajan.K,ADMK,66136,32.45,50348,255353,202022,79.10%
64,GEN,Kilpennathur,Pitchandi K,DMK,99070,50.22,Selvamani K,ADMK,64404,32.64,34666,234104,196123,83.80%
65,GEN,Kalasapakkam,Panneerselvam V,ADMK,84394,45.41,Kumar G,INC,57980,31.2,26414,218565,184349,84.30%
66,GEN,Polur,Sekaran.K.V,DMK,66588,34.02,Murugan.M,ADMK,58315,29.8,8273,225566,194484,86.20%
67,GEN,Arani,Ramachandran. S,ADMK,94074,44.89,Babu. S,DMK,86747,41.4,7327,255752,207796,81.20%
68,GEN,Cheyyar,Mohan K,ADMK,77766,37.78,Dr. Vishnuprasad M K,INC,69239,33.64,8527,243709,203565,83.50%
69,SC,Vandavasi,Ambethkumar. S,DMK,80206,44.2,Meganathan. V,ADMK,62138,34.24,18068,223241,179055,80.20%
70,GEN,Gingee,K. S. Masthan,DMK,88440,43.99,Govindasamy A,ADMK,66383,33.02,22057,250191,198698,79.40%
71,GEN,Mailam,Masilamani R,DMK,70880,41.4,Annadurai K,ADMK,58574,34.21,12306,210950,169489,80.30%
72,SC,Tindivanam,Seethapathy P,DMK,61879,35.33,Rajendran S P,ADMK,61778,35.27,101,220510,173038,78.50%
73,SC,Vanur,Chakrapani M,ADMK,64167,36.79,Mydili R,DMK,53944,30.93,10223,220293,172998,78.50%
74,GEN,Villupuram,C V Shanmugam,ADMK,69421,36.74,Ameer Abbas S M,IUML,47130,24.94,22291,245110,187263,76.40%
75,GEN,Vikravandi,Rathamani.K,DMK,63757,35.69,Velu R,ADMK,56845,31.82,6912,217174,177252,81.60%
76,GEN,Tirukkoyilur,Ponmudy K,DMK,93837,49.8,Gothandaraman G,ADMK,52780,28.01,41057,238318,186328,78.20%
77,GEN,Ulundurpettai,Kumaraguru. R.,ADMK,81973,36.04,Vasanthavel. G.R.,DMK,77809,34.21,4164,272569,226647,83.20%
78,GEN,Rishivandiyam,Karthikeyan.K,DMK,92607,47.08,Dhandapani.K,ADMK,72104,36.66,20503,247152,195830,79.20%
79,GEN,Sankarapuram,Udhayasuriyan.T,DMK,90920,44.72,Mohan P,ADMK,76392,37.58,14528,251971,202263,80.30%
80,SC,Kallakurichi,Prabhu A,ADMK,90108,42.16,Kamaraj P,DMK,86004,40.24,4104,264413,210711,79.70%
81,SC,Gangavalli,Maruthamuthu.A,ADMK,74301,42.22,Rekha Priyadharshini.J,DMK,72039,40.94,2262,217595,174215,80.10%
82,SC,Attur,Chinnathambi R M,ADMK,82827,44.34,Arthanari S K,INC,65493,35.06,17334,232681,184046,79.10%
83,ST,Yercaud,Chitra.G,ADMK,100562,45.18,Tamilselvan.C,DMK,83168,37.37,17394,258758,219430,84.80%
84,GEN,Omalur,Vetrivel.S,ADMK,89169,39.23,Ammasi.S,DMK,69213,30.45,19956,266164,225556,84.70%
85,GEN,Mettur,Semmalai.S,ADMK,72751,35.05,Parthiban.S.R,DMK,66469,32.02,6282,262849,205745,78.30%
86,GEN,Edappadi,Edappadi K. Palaniswami,ADMK,98703,43.74,Annadurai. N,PMK,56681,25.12,42022,261712,223731,85.50%
87,GEN,Sankari,Raja.S,ADMK,96202,44.57,Rajeswaran.T.K,INC,58828,27.25,37374,256471,212929,83.00%
88,GEN,Salem (West),Venkatachalam.G,ADMK,80755,39.88,Panneer Selvam.C.,DMK,73508,36.3,7247,270641,199371,73.70%
89,GEN,Salem (North),Rajendran.R,DMK,86583,45.14,Saravanan.K.R.S,ADMK,76710,39.99,9873,267624,187811,70.20%
90,GEN,Salem (South),Sakthivel A B,ADMK,101696,51.39,Gunasekaran M,DMK,71243,36,30453,263957,193768,73.40%
91,GEN,Veerapandi,Manonmani.P,ADMK,94792,45.86,Rajendran. A,DMK,80311,38.85,14481,238532,203890,85.50%
92,SC,Rasipuram,Saroja V. Dr,ADMK,86901,46.5,Duraisamy V.P,DMK,77270,41.35,9631,222650,184074,82.70%
93,ST,Senthamangalam,Chandrasekaran C,ADMK,91339,48.09,Ponnusamy K,DMK,79006,41.6,12333,232916,187253,80.40%
94,GEN,Namakkal,K. P. P. Baskar,ADMK,89076,45.81,Chezhian. R,INC,75542,38.85,13534,243892,190613,78.20%
95,GEN,Paramathi Velur,Moorthiy K S,DMK,74418,42.45,Rajendhiran R,ADMK,73600,41.98,818,210835,173648,82.40%
96,GEN,Tiruchengodu,Saraswathi Pon,ADMK,73103,41.4,Elangoavan Bar,DMK,69713,39.48,3390,218127,174285,79.90%
97,GEN,Kumarapalayam,Thangamani P,ADMK,103032,55.2,Yuvaraj P,DMK,55703,29.84,47329,232414,183658,79.00%
98,GEN,Erode (East),Thennarasu K S,ADMK,64879,43.83,V. C. Chandhirakumar,DMK,57085,38.57,7794,214592,144922,67.50%
99,GEN,Erode (West),Ramalingam K.V.,ADMK,82297,43.46,Muthusamy S,DMK,77391,40.87,4906,255003,185964,72.90%
100,GEN,Modakkurichi,Sivasubramani . V.P.,ADMK,77067,43.62,Sachidanandam. P.,DMK,74845,42.36,2222,221957,173953,78.40%
101,SC,Dharapuram,Kalimuthu. V.S,INC,83538,45.67,Ponnusamy. K,ADMK,73521,40.19,10017,236823,180028,76.00%
102,GEN,Kangayam,Thaniyarasu U,ADMK,83325,45.18,Gopi P,INC,70190,38.06,13135,231742,181287,78.20%
103,GEN,Perundurai,Venkatachalam.N.D,ADMK,80292,44.05,Mohanasundaram P.,DMK,67521,37.05,12771,210871,180272,85.50%
104,GEN,Bhavani,Karuppanan K C,ADMK,85748,45.38,Sivakumar N,DMK,60861,32.21,24887,225945,186234,82.40%
105,GEN,Anthiyur,E. M. R. Raja,ADMK,71575,42.21,Venkatachalam A G,DMK,66263,39.07,5312,205788,168035,81.70%
106,GEN,Gobichettipalayam,Sengottaiyan K.A,ADMK,96177,47,Saravanan S.V,INC,84954,41.52,11223,241198,201877,83.70%
107,SC,Bhavanisagar,Eswaran.S,ADMK,83006,42.23,Sathya.R,DMK,69902,35.56,13104,237600,193571,81.50%
108,GEN,Udhagamandalam,Ganesh. R.,INC,67747,48.34,Vinoth,ADMK,57329,40.9,10418,200138,137243,68.60%
109,SC,Gudalur,Thiravidamani.M.,DMK,62128,47.39,Kalaiselvan. S.,ADMK,48749,37.19,13379,178142,129270,72.60%
110,GEN,Coonoor,Ramu. A.,ADMK,61650,45.71,Mubarak. B. M.,DMK,57940,42.96,3710,185574,132587,71.40%
111,GEN,Mettupalayam,Chinnaraj.O.K,ADMK,93595,44.41,Surendran. S.,DMK,77481,36.76,16114,273728,207353,75.80%
112,SC,Avanashi,Dhanapal P,ADMK,93366,48.11,Anandhan E,DMK,62692,32.31,30674,248719,190528,76.60%
113,GEN,Tiruppur (North),Vijayakumar Kn,ADMK,106717,48.56,Saminathan M P,DMK,68943,31.37,37774,326277,216314,66.30%
114,GEN,Tiruppur (South),Gunasekaran S,ADMK,73351,44.68,Selvaraj K,DMK,57418,34.98,15933,246541,161721,65.60%
115,GEN,Palladam,Natarajan. A,ADMK,111866,47.01,Krishnamoorthy. S,DMK,79692,33.49,32174,325238,234062,72.00%
116,GEN,Sulur,Kanagaraj. R.,ADMK,100977,47.38,Manoharan. V.M.C.,INC,64346,30.19,36631,279722,209433,74.90%
117,GEN,Kavundampalayam,V. C. Arukutty,ADMK,110870,40.7,Payya Gounder @ Krishnan. R.,DMK,102845,37.76,8025,406349,267126,65.70%
118,GEN,Coimbatore (North),Arun Kumar. P.R.G.,ADMK,77540,41.05,S.Meenalogu,DMK,69816,36.96,7724,302353,184308,61.00%
119,GEN,Thondamuthur,Velumani.S.P.,ADMK,109519,55.01,Kovai Syed,MMK,45478,22.84,64041,291769,195852,67.10%
120,GEN,Coimbatore (South),Amman K. Arjunan,ADMK,59788,38.94,Mayura Jayakumar.S.,INC,42369,27.6,17419,242869,150202,61.80%
121,GEN,Singanallur,Karthik. N.,DMK,75459,40.02,Singai Muthu. N.,ADMK,70279,37.28,5180,304591,184799,60.70%
122,GEN,Kinathukadavu,Shanmugam. A.,ADMK,89042,42.81,Kurichi Prabhakaran,DMK,87710,42.17,1332,293432,204105,69.60%
123,GEN,Pollachi,Pollachi V Jayaraman,ADMK,78553,46.59,Tamilmani. R.,DMK,65185,38.66,13368,216097,166362,77.00%
124,SC,Valparai,Kasthuri Vasu. V.,ADMK,69980,48.68,Paulpandi. T.,DMK,61736,42.95,8244,195780,141537,72.30%
125,GEN,Udumalaipettai,Radhakrishnan. K,ADMK,81817,44.73,Muthu. Mu. Ka,DMK,76130,41.62,5687,250547,179611,71.70%
126,GEN,Madathukulam,Jayaramakrishnan R,DMK,76619,44.66,Manoharan K,ADMK,74952,43.69,1667,224447,169397,75.50%
127,GEN,Palani,Senthilkumar I P,DMK,100045,50.66,Kumarasamy P,ADMK,74459,37.71,25586,257546,196014,76.10%
128,GEN,Oddanchatram,Sakkarapani R,DMK,121715,64.26,Kittusamy K,ADMK,55988,29.56,65727,223628,188140,84.10%
129,GEN,Athoor,Periyasamy I,DMK,121738,53.1,Viswanathan R Natham,ADMK,94591,41.26,27147,269948,227147,84.10%
130,SC,Nilakottai,Thangathurai R,ADMK,85507,48.99,Anbazhagan M,DMK,70731,40.52,14776,216344,172722,79.80%
131,GEN,Natham,Andi Ambalam M.A,DMK,93822,45.32,Shajahan S,ADMK,91712,44.3,2110,258472,205167,79.40%
132,GEN,Dindigul,Sreenivasan C,ADMK,91413,49.3,Basheer Ahamed M,DMK,70694,38.13,20719,247238,182636,73.90%
133,GEN,Vedasandur,V. P. B. Paramasivam,ADMK,97555,49.13,Sivasakthivel Gounder R,INC,77617,39.09,19938,246896,196302,79.50%
134,GEN,Aravakurichi,V. Senthil Balaji,ADMK,88068,53.51,K. C. Palanisamy,DMK,64407,39.13,23661,231209,183218,79.20%
135,SC,Karur,Vijayabhaskar .M.R,ADMK,81936,43.86,Subramanian .Bank .K,INC,81495,43.62,441,202913,163817,80.70%
136,GEN,Krishnarayapuram,Geetha . M.,ADMK,83977,49.82,Aiyyar . V. K.,PTK,48676,28.88,35301,207792,182170,87.70%
137,GEN,Kulithalai,Ramar .E,DMK,89923,48.85,Chandrasekaran .R,ADMK,78027,42.39,11896,261856,202592,77.40%
138,GEN,Manapaarai,Chandrasekar R,ADMK,91399,44.38,Mohamed Nizam M A,IUML,73122,35.5,18277,281063,221279,78.70%
139,GEN,Srirangam,Valarmathi.S,ADMK,108400,48.09,Palaniyandi.M,DMK,93991,41.7,14409,253551,175323,69.10%
