S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Total Electors,Total Votes,Poll%
1,,Gummidipoondi,T. J. Govindrajan,DMK,126452,56.94,Prakash M,PMK,75514,34,50938,267255,220286,82.40%
2,GEN,Ponneri (SC),Durai Chandrasekar,INC,94528,44.94,P. Balaraman,ADMK,84839,40.33,9689,267255,220286,82.40%
3,GEN,Tiruttani,S. Chandran,DMK,120314,51.72,G. Hari,ADMK,91061,39.15,29253,254351,208800,82.10%
4,SC,Thiruvallur,V. G. Raajendran,DMK,107709,50.27,B. V. Ramanaa,ADMK,85008,39.68,22701,254351,208800,82.10%
5,SC,Poonamallee (SC),A. Krishnaswamy,DMK,149578,56.72,S. X. Rajamannar,PMK,55468,21.03,94110,276906,230959,83.40%
6,GEN,Avadi,S. M. Nasar,DMK,150287,49.94,K. Pandiarajan,ADMK,95012,31.57,55275,276906,230959,83.40%
7,GEN,Maduravoyal,K. Ganapathy,DMK,121298,44.29,P. Benjamin,ADMK,89577,32.71,31721,260870,212371,81.40%
8,GEN,Ambattur,Joseph Samuel,DMK,114554,47.67,V. Alexander,ADMK,72408,30.13,42146,260870,212371,81.40%
9,GEN,Madavaram,S. Sudharsanam,DMK,151485,50.04,V. Moorthy,ADMK,94414,31.19,57071,332331,260869,78.50%
10,SC,Thiruvottiyur,K. P. Shankar,DMK,88185,44.34,K. Kuppan,ADMK,50524,25.4,37661,332331,260869,78.50%
11,SC,Dr. Radhakrishnan Nagar,J. John Ebenezer,DMK,95763,51.2,R. S. Raajesh,ADMK,53284,28.49,42479,409701,298546,72.90%
12,GEN,Perambur,R. D. Sekar,DMK,105267,52.53,N. R. Dhanapalan,ADMK,50291,25.1,54976,409701,298546,72.90%
13,GEN,Kolathur,M. K. Stalin,DMK,105522,60.86,Aadhi Rajaram,ADMK,35138,20.27,70384,413109,271724,65.80%
